,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.41,0.68,0.59,0.24,0.18,0.97,1.0,0.5,0.06,0.31,0.5,0.22,0.27
fontforge.csv,0.17,0.19,0.17,0.4,0.46,0.33,0.0,0.96,0.22,0.77,0.36,0.19,0.3
gmerlin.csv,0.22,0.65,0.17,0.12,0.12,0.45,1.0,0.54,0.11,0.49,0.64,0.94,0.11
hatari.csv,0.49,0.58,0.9,0.68,0.59,0.55,1.0,0.58,0.61,0.9,0.21,0.31,0.46
jcl.csv,0.05,0.39,0.0,0.2,0.02,0.06,0.0,0.12,0.22,0.18,1.0,0.19,0.03
ltp.csv,0.39,0.35,0.38,0.4,0.98,0.33,1.0,0.67,0.33,0.59,0.57,0.19,0.27
net-snmp.csv,0.98,0.52,0.14,0.28,0.34,0.33,0.0,0.71,0.28,0.23,0.29,0.25,0.3
opde.csv,0.93,0.68,0.69,0.88,0.88,0.41,1.0,0.21,0.56,0.05,0.93,0.25,0.35
powerfolder-.csv,0.15,1.0,0.1,0.04,0.06,0.14,0.0,0.29,0.22,0.44,0.57,0.0,0.08
qlc.csv,0.05,0.52,0.03,0.2,0.0,0.2,0.0,0.12,0.89,0.0,0.21,0.06,0.03
tcl.csv,0.24,0.68,0.21,0.4,0.38,0.45,1.0,0.33,0.44,0.92,0.36,0.28,0.62
wxstudio.csv,0.68,0.68,0.38,0.4,0.54,0.58,1.0,0.67,0.44,0.69,0.43,0.69,0.92
