,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.49,0.41,0.5,0.75,0.81,0.54,0.5,0.41,0.95,0.73,0.47,0.95,0.78
fontforge.csv,0.94,0.83,0.89,0.59,0.63,0.76,0.82,0.52,0.79,0.39,0.49,0.93,0.55
gmerlin.csv,0.82,0.5,0.8,0.9,0.93,0.61,0.8,0.36,0.96,0.39,0.48,0.63,0.91
hatari.csv,0.64,0.6,0.63,0.45,0.51,0.49,0.71,0.34,0.57,0.36,0.67,0.93,0.78
jcl.csv,0.67,0.8,0.5,0.92,0.93,0.8,0.67,0.88,0.95,0.92,0.93,0.93,0.5
ltp.csv,0.67,0.54,0.68,0.88,0.45,0.65,0.57,0.32,0.87,0.46,0.61,0.68,0.56
net-snmp.csv,0.57,0.71,0.8,0.83,0.66,0.75,0.8,0.32,0.71,0.68,0.65,0.94,0.65
opde.csv,0.41,0.43,0.5,0.74,0.38,0.51,0.59,0.73,0.55,0.92,0.4,0.66,0.64
powerfolder-.csv,0.89,0.65,0.88,0.5,0.97,0.95,0.89,0.75,0.8,0.42,0.66,0.0,0.86
qlc.csv,0.5,0.47,0.0,0.89,0.0,0.95,0.5,0.67,0.94,0.0,0.92,0.75,0.75
tcl.csv,0.83,0.47,0.92,0.7,0.82,0.68,0.77,0.8,0.67,0.57,0.74,0.62,0.63
wxstudio.csv,0.43,0.48,0.76,0.55,0.5,0.49,0.71,0.37,0.51,0.45,0.51,0.5,0.59
