,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.91,0.9,0.94,0.88,0.17,0.71,0.67,0.67,0.63,0.87
autoopencas.csv,0.94,0.8,0.85,0.76,0.72,0.7,0.29,0.95,0.93,0.79
gogoego.csv,0.52,0.66,0.54,0.6,0.64,0.88,1.0,0.49,0.64,0.59
jam-daq.csv,0.7,0.8,0.66,0.7,0.9,0.62,0.98,0.78,0.39,0.69
jhotdraw.csv,0.97,0.85,0.93,0.79,0.8,0.45,0.64,0.95,0.77,0.81
pokeglobal.csv,0.34,0.63,0.61,0.85,0.63,0.94,0.82,0.78,0.68,0.85
robocode.csv,0.76,0.44,0.69,0.51,0.92,0.62,0.69,0.82,0.87,0.52
springside.csv,0.49,0.92,0.78,0.66,0.9,0.68,0.61,0.35,0.76,0.66
trinitycore.csv,0.96,0.91,0.81,0.51,1.0,0.84,0.67,0.82,0.75,0.5
uwom-server.csv,0.85,0.8,0.83,0.55,1.0,0.78,0.74,0.82,0.61,0.58
