,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.38,0.42,0.52,0.7,0.65,0.6,0.93,0.59,0.65,0.83,0.3,0.61,0.26,0.03,0.47,0.41,0.57
arm-webradio.csv,0.49,0.45,0.45,0.83,0.38,0.48,0.43,0.26,0.62,0.67,0.64,0.26,0.79,0.59,0.3,0.72,0.02
codepurge.csv,0.19,0.18,0.13,0.17,0.15,0.23,0.0,0.26,0.09,0.0,0.13,0.34,0.0,0.21,0.03,0.17,0.08
fw4spl.csv,0.54,0.01,0.48,0.78,0.43,0.69,0.93,0.46,0.65,0.83,0.49,0.34,0.61,0.55,0.57,0.51,0.73
glas.csv,0.78,0.73,0.59,0.57,0.49,0.6,0.86,0.85,0.02,0.83,0.62,0.63,0.3,0.7,0.43,0.54,0.91
grisbi.csv,0.68,0.84,0.58,0.7,0.87,0.52,0.0,0.65,0.62,0.5,0.72,0.75,0.77,0.61,0.9,0.75,0.31
gwanted.csv,0.05,0.07,0.15,0.04,0.01,0.04,0.14,0.09,0.0,0.33,0.08,0.59,0.06,0.03,0.7,0.21,0.89
lcfizvtop.csv,0.73,0.23,0.24,0.52,0.24,0.0,0.14,0.41,0.05,0.67,0.42,0.35,0.29,0.23,0.4,0.39,0.01
ldview.csv,0.0,0.31,0.24,0.3,0.18,0.38,0.36,0.39,0.64,0.17,0.3,0.43,0.37,0.18,0.37,0.18,0.75
libmesh.csv,0.24,0.34,0.06,0.96,0.49,0.5,0.64,0.11,0.56,0.67,0.28,0.29,0.36,0.21,0.73,0.35,0.26
mediaportal.csv,0.08,0.08,0.07,0.91,0.85,0.06,0.0,0.02,0.07,0.83,0.08,0.02,0.03,0.03,0.97,0.18,0.02
olex2.csv,0.11,0.36,0.36,0.09,0.4,0.44,0.29,0.37,0.33,0.5,0.3,0.5,0.14,0.15,0.17,0.03,0.1
oppna-program-hsatools.csv,0.32,0.71,0.92,0.0,0.79,0.75,0.36,0.8,0.45,1.0,0.68,0.88,0.32,0.86,0.63,0.39,0.55
qlc.csv,0.08,0.19,0.0,0.0,0.12,0.06,0.0,0.02,0.11,0.0,0.13,0.23,0.01,0.05,0.03,0.07,0.02
somap.csv,1.0,1.0,1.0,0.96,0.96,1.0,0.86,0.98,0.98,0.0,0.99,1.0,1.0,1.0,0.9,1.0,1.0
wxcode.csv,0.0,0.02,0.1,0.0,0.08,0.29,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.06,0.0,0.04,0.0
xcf.csv,0.68,0.34,0.37,0.39,0.37,0.4,0.57,0.3,0.58,0.5,0.42,0.52,0.65,0.32,0.0,0.77,0.56
