,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.0,29.0,6.0,3.0,31.0,0.0,0.0,0.0,7.0,0.0,17.0,23.0,15.0,0.0,6.0,4.0,3.0
arm-webradio.csv,0.0,17.0,3.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,18.0,2.0,1.0,5.0,0.0
codepurge.csv,0.0,2.0,9.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0
fw4spl.csv,0.0,0.0,23.0,2.0,18.0,0.0,0.0,0.0,6.0,0.0,3.0,23.0,22.0,2.0,4.0,4.0,3.0
glas.csv,0.0,68.0,7.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,10.0,2.0,6.0,4.0,3.0
grisbi.csv,0.0,48.0,15.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,48.0,3.0,19.0,1.0,7.0,1.0,0.0
gwanted.csv,57.0,2.0,132.0,0.0,0.0,1.0,1.0,2.0,91.0,0.0,6.0,26.0,6.0,1.0,2.0,3.0,3.0
lcfizvtop.csv,0.0,4.0,10.0,6.0,10.0,0.0,1.0,0.0,1.0,0.0,29.0,7.0,8.0,2.0,2.0,8.0,0.0
ldview.csv,0.0,31.0,4.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,22.0,14.0,2.0,2.0,1.0,3.0
libmesh.csv,0.0,47.0,1.0,2.0,19.0,0.0,0.0,0.0,6.0,0.0,2.0,22.0,7.0,2.0,8.0,1.0,0.0
mediaportal.csv,57.0,19.0,0.0,2.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0
olex2.csv,3.0,24.0,16.0,0.0,14.0,15.0,0.0,1.0,2.0,0.0,18.0,2.0,14.0,3.0,5.0,0.0,2.0
oppna-program-hsatools.csv,2.0,41.0,23.0,0.0,33.0,29.0,0.0,0.0,1.0,0.0,29.0,48.0,16.0,9.0,3.0,5.0,17.0
qlc.csv,2.0,24.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
somap.csv,0.0,72.0,27.0,2.0,21.0,0.0,0.0,0.0,6.0,0.0,46.0,23.0,24.0,2.0,3.0,4.0,3.0
wxcode.csv,0.0,4.0,4.0,0.0,2.0,58.0,0.0,71.0,91.0,77.0,0.0,1.0,1.0,0.0,0.0,0.0,131.0
xcf.csv,0.0,3.0,2.0,2.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,11.0,2.0,0.0,2.0,5.0
