,mpqc.csv,iaml.csv,jrdf.csv,tigermud.csv
iaml.csv,0.76,0.57,0.5,0.61
jrdf.csv,0.94,0.61,0.85,0.5
mpqc.csv,0.95,0.91,0.92,0.83
tigermud.csv,0.44,0.52,0.41,0.52
