,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.42,0.6,0.43,0.6,0.5,0.45,0.53,0.52,0.45,0.68,0.59,0.56,0.6,0.64,0.99,0.75,0.57,0.99,0.67,0.8
ardour.csv,0.53,0.66,0.6,0.4,0.91,0.66,0.54,0.33,0.51,0.65,0.61,0.62,0.43,0.75,0.52,0.96,0.52,0.57,0.51,0.69
arianne.csv,0.74,0.4,0.98,0.95,0.78,1.0,0.89,1.0,0.97,0.97,1.0,1.0,0.94,0.9,0.96,0.89,0.82,0.95,0.99,1.0
bacnet.csv,0.53,0.84,0.41,0.54,0.44,0.61,0.5,0.41,0.45,0.44,0.57,0.75,0.52,0.73,0.51,0.84,0.59,0.62,0.63,0.74
cortex-vfx.csv,0.51,0.66,0.48,0.46,0.75,0.55,0.7,0.54,0.43,0.68,0.65,0.86,0.51,0.6,0.62,0.86,0.54,0.53,0.59,0.58
emeraldemu.csv,0.86,0.69,0.64,0.36,0.87,0.92,0.72,0.98,0.35,0.95,1.0,0.97,0.46,0.63,0.7,0.98,0.54,0.68,0.87,0.74
fritzing.csv,0.44,0.65,0.51,0.54,0.48,0.58,0.62,0.52,0.56,0.69,0.73,0.7,0.8,0.57,0.94,0.97,0.55,0.57,0.57,0.87
gnupdate.csv,0.77,0.61,0.91,0.7,0.76,0.6,0.7,0.73,0.78,0.66,0.25,0.61,0.57,0.59,0.59,0.68,0.55,0.81,0.67,0.54
grafx2.csv,0.69,0.62,0.51,0.5,0.81,0.49,0.69,0.36,0.62,0.7,0.41,0.62,0.5,0.57,0.57,0.78,0.55,0.66,0.53,0.56
gstreamer.csv,0.79,0.75,0.73,0.71,0.94,0.59,0.6,0.66,0.76,0.78,0.67,0.82,0.6,0.54,0.55,0.77,0.63,0.95,0.42,0.88
keyczar.csv,1.0,0.95,0.87,0.94,0.94,0.93,0.84,1.0,0.96,0.89,0.97,0.75,0.98,0.94,1.0,0.37,0.96,1.0,0.81,0.74
linux-ntfs.csv,0.85,0.63,0.63,0.65,0.71,0.59,0.87,0.65,0.73,0.98,0.91,0.79,0.78,0.68,0.66,0.57,0.7,0.8,0.67,0.46
multitude.csv,0.63,0.54,0.84,0.71,0.8,0.52,0.63,0.6,0.66,0.78,0.76,0.92,0.82,0.41,0.46,0.47,0.64,0.87,0.53,0.97
planeshift.csv,0.7,0.76,0.79,0.56,0.84,0.65,0.43,0.44,0.71,0.81,0.89,0.81,0.89,0.74,0.71,0.94,0.64,0.99,0.78,1.0
rsyslog.csv,0.62,0.66,0.82,0.47,0.78,0.41,0.62,0.35,0.47,0.95,0.53,0.65,0.55,0.68,0.54,0.9,0.7,0.99,0.54,0.73
salasaga.csv,0.53,0.84,0.54,0.63,0.66,0.65,0.58,0.37,0.56,0.59,0.6,0.76,0.7,0.69,0.39,0.91,0.57,0.71,0.69,0.84
wow-qrsk.csv,0.88,0.63,0.44,0.45,0.76,0.92,0.88,0.68,0.29,0.63,0.7,0.88,0.88,0.84,0.72,1.0,0.92,0.65,0.67,0.84
xmoto.csv,0.61,0.72,0.37,0.47,0.5,0.49,0.55,0.61,0.39,0.84,0.59,0.66,0.51,0.57,0.82,0.62,0.37,0.63,0.95,0.97
xuggle.csv,0.55,0.65,0.34,0.55,0.53,0.54,0.68,0.56,0.41,0.65,0.82,0.69,0.71,0.62,0.47,0.84,0.7,0.67,0.8,0.88
yield.csv,0.57,0.54,0.44,0.41,0.37,0.41,0.54,0.43,0.42,0.58,0.53,0.6,0.62,0.51,0.5,0.64,0.48,0.8,0.5,0.76
