,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,1.0,1.0,0.0,1.0,68.0,0.0,0.0,1.0,59.0,0.0,12.0
cubefs.csv,1.0,0.0,3.0,0.0,68.0,0.0,2.0,0.0,1.0,1.0,3.0
iaml.csv,5.0,6.0,16.0,0.0,17.0,0.0,0.0,0.0,59.0,1.0,2.0
ivataopenportal.csv,0.0,10.0,7.0,0.0,6.0,0.0,0.0,0.0,59.0,0.0,1.0
mb-unit.csv,11.0,0.0,19.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,2.0
mvdsv.csv,0.0,56.0,120.0,680.0,0.0,215.0,0.0,0.0,59.0,0.0,0.0
nova.csv,0.0,0.0,16.0,0.0,68.0,0.0,0.0,0.0,59.0,0.0,4.0
olex2.csv,0.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,59.0,0.0,0.0
openwbem.csv,0.0,16.0,23.0,0.0,35.0,0.0,0.0,0.0,59.0,1.0,4.0
xcmetadataservicestoolkit.csv,4.0,56.0,17.0,0.0,28.0,1.0,0.0,0.0,3.0,0.0,1.0
