,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.42,0.12,0.9,0.91,0.0,0.5,0.55,0.77,0.0,0.75,0.44
cubefs.csv,0.34,0.67,0.19,0.86,0.0,0.53,0.56,0.96,0.14,0.76,0.47
iaml.csv,0.4,0.23,0.2,0.88,0.1,0.57,0.97,0.73,0.0,0.72,0.48
ivataopenportal.csv,0.39,0.2,0.24,0.86,0.16,0.98,0.57,0.69,0.0,0.81,0.53
mb-unit.csv,0.38,0.6,0.19,0.99,0.12,0.53,0.54,0.73,0.02,0.78,0.61
mvdsv.csv,0.5,0.0,0.0,0.0,1.0,0.0,0.33,1.0,0.0,1.0,1.0
nova.csv,0.41,1.0,0.24,0.88,0.0,0.49,0.57,0.7,0.0,0.69,0.46
olex2.csv,0.42,0.67,0.27,0.88,0.12,0.55,0.5,0.74,0.0,0.81,0.98
openwbem.csv,0.98,0.2,0.2,0.84,0.1,0.52,0.47,0.75,0.0,0.84,0.49
xcmetadataservicestoolkit.csv,0.41,0.0,0.17,0.87,0.09,0.54,0.57,0.87,0.07,1.0,0.42
