,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.11,0.08,0.9,0.36,0.0,0.09,0.26,0.22,0.0,0.3,0.28
cubefs.csv,0.31,0.46,0.9,0.7,0.0,0.8,0.79,1.0,1.0,0.8,0.97
iaml.csv,0.57,0.62,0.95,0.57,1.0,0.33,0.96,0.42,0.0,0.57,0.63
ivataopenportal.csv,0.44,0.62,0.38,0.69,1.0,0.97,0.43,0.68,0.0,0.52,0.82
mb-unit.csv,0.64,0.23,0.48,1.0,1.0,0.95,0.43,0.81,1.0,0.78,0.57
mvdsv.csv,0.02,0.0,0.0,0.0,1.0,0.0,0.01,0.01,0.0,0.02,0.03
nova.csv,0.81,0.92,0.9,0.55,0.0,0.61,0.4,0.57,0.0,0.62,0.57
olex2.csv,0.6,0.15,0.29,0.49,0.67,0.31,0.37,0.4,0.0,0.52,0.98
openwbem.csv,0.9,0.69,0.43,0.44,0.67,0.42,0.36,0.81,0.0,0.65,0.55
xcmetadataservicestoolkit.csv,0.46,0.0,1.0,0.55,1.0,0.66,0.86,0.35,1.0,1.0,0.28
