,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.13,0.1,0.91,0.4,0.0,0.11,0.3,0.26,0.0,0.34,0.32
cubefs.csv,0.35,0.51,0.52,0.55,0.0,0.55,0.46,0.98,0.98,0.62,0.27
iaml.csv,0.56,0.55,0.51,0.56,0.51,0.37,0.96,0.45,0.0,0.53,0.57
ivataopenportal.csv,0.47,0.48,0.42,0.57,0.83,0.97,0.45,0.56,0.0,0.54,0.67
mb-unit.csv,0.58,0.27,0.49,0.98,0.71,0.35,0.44,0.62,0.7,0.66,0.59
mvdsv.csv,0.02,0.0,0.0,0.0,1.0,0.0,0.01,0.01,0.0,0.02,0.04
nova.csv,0.63,0.93,0.72,0.55,0.0,0.51,0.43,0.54,0.0,0.49,0.54
olex2.csv,0.58,0.18,0.33,0.51,0.63,0.35,0.39,0.44,0.0,0.54,0.98
openwbem.csv,0.92,0.46,0.46,0.45,0.59,0.44,0.38,0.66,0.0,0.65,0.54
xcmetadataservicestoolkit.csv,0.49,0.0,0.0,0.54,0.0,0.58,0.41,0.4,0.95,1.0,0.32
