,olsrd.csv,reaper-ecad.csv,rtb-team.csv,autofac.csv,sidekar.csv,fluidium.csv,jsr308-langtools.csv,illumination.csv,buddata-ebxml-registry.csv
autofac.csv,0.0,0.79,0.44,0.78,0.57,0.13,0.0,0.0,0.58
buddata-ebxml-registry.csv,0.66,0.17,0.0,0.33,0.0,0.0,0.32,0.15,1.0
fluidium.csv,0.0,0.0,0.0,0.58,0.31,0.69,0.0,0.0,0.0
illumination.csv,0.65,0.6,0.13,0.57,0.71,0.36,0.32,0.34,0.62
jsr308-langtools.csv,0.7,0.05,0.49,0.0,0.3,0.43,0.92,0.67,0.61
olsrd.csv,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0
reaper-ecad.csv,0.0,0.51,0.0,0.2,0.0,0.0,0.04,0.0,0.16
rtb-team.csv,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
sidekar.csv,0.0,0.62,0.38,0.57,0.91,0.42,0.0,0.07,0.58
