,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,3.0,32.0,1.0,0.0,4.0,0.0,1.0,0.0,168.0,0.0,1.0,1.0,38.0,1.0
crux-framework.csv,3.0,5.0,7.0,2.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0
etherboot.csv,0.0,7.0,411.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,342.0,49.0,1.0
freebios.csv,0.0,13.0,68.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,3.0,47.0,4.0
gebr.csv,4.0,45.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,4.0,68.0,1.0
gnukeda.csv,0.0,16.0,0.0,0.0,4.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,67.0,0.0
google-gears.csv,3.0,42.0,1.0,1.0,0.0,5.0,1.0,0.0,2.0,7.0,2.0,1.0,34.0,1.0
gstreamer.csv,4.0,44.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,64.0,1.0
jnode.csv,3.0,5.0,2.0,1.0,82.0,116.0,2.0,0.0,0.0,0.0,1.0,6.0,21.0,1.0
metacosm.csv,4.0,10.0,41.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,24.0,0.0
openmeetings.csv,2.0,0.0,22.0,0.0,2.0,3.0,1.0,0.0,3.0,4.0,0.0,1.0,28.0,4.0
pgui.csv,3.0,43.0,411.0,1.0,0.0,6.0,7.0,0.0,1.0,3.0,0.0,342.0,66.0,1.0
tradelink.csv,3.0,43.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,3.0,46.0,1.0
wxcrp.csv,4.0,45.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,54.0,1.0
