,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.89,0.92,0.53,0.78,0.83,0.71,0.49,0.47,0.63,0.62,0.47,0.78,0.77
autofac.csv,0.55,0.83,0.5,0.43,0.47,0.43,0.41,0.47,0.56,0.44,0.34,0.49,0.83
coot.csv,0.42,0.0,0.88,0.62,0.52,0.67,0.5,0.5,0.57,0.46,0.41,0.55,0.49
dsworkbench.csv,0.88,0.45,0.8,0.88,0.67,0.9,0.95,0.0,0.0,0.87,0.88,0.95,0.0
emono.csv,0.48,0.63,0.56,0.55,0.52,0.58,0.66,0.6,0.5,0.53,0.47,0.53,0.91
exist.csv,0.65,0.39,0.32,0.41,0.46,0.38,0.41,0.38,0.44,0.46,0.45,0.41,0.43
freelords.csv,0.36,0.38,0.37,0.47,0.39,0.46,0.35,0.46,0.63,0.46,0.43,0.45,0.35
google-collections.csv,0.35,0.36,0.32,0.38,0.45,0.4,0.34,0.45,0.5,0.43,0.45,0.43,0.36
jchassis.csv,0.5,0.0,0.0,0.0,0.0,0.83,0.5,0.0,0.83,0.0,0.0,0.0,0.0
jpaul.csv,0.64,0.45,0.91,0.93,0.53,0.8,0.97,0.75,0.95,0.9,0.0,0.0,0.88
neodatis-odb.csv,0.41,0.51,0.41,0.5,0.5,0.7,0.54,0.55,0.5,0.59,0.54,0.97,0.88
octet.csv,0.81,0.59,0.47,0.59,0.56,0.56,0.36,0.86,0.53,0.57,0.47,0.7,0.48
thedata.csv,0.48,0.5,0.42,0.57,0.62,0.56,0.51,0.56,0.69,0.5,0.4,0.48,0.89
