,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.11,0.18,0.48,0.38,0.29,0.54,0.63,0.71,1.0,0.68,0.9,0.29,0.25
autofac.csv,0.46,0.1,0.72,0.44,0.82,0.7,0.74,0.57,1.0,0.54,0.72,0.35,0.25
coot.csv,0.84,0.0,0.34,0.56,0.88,0.59,0.0,0.71,1.0,0.49,0.75,0.46,0.75
dsworkbench.csv,0.1,0.8,0.14,0.1,0.12,0.11,0.11,0.14,0.0,0.2,0.08,0.2,0.0
emono.csv,0.78,0.42,0.48,0.63,0.76,0.73,0.43,0.57,1.0,0.51,0.82,0.69,0.25
exist.csv,0.56,0.84,1.0,0.63,0.53,0.89,0.78,0.71,0.0,0.63,0.85,0.71,0.5
freelords.csv,0.82,0.9,0.69,0.68,0.76,0.73,0.97,0.43,1.0,0.76,0.92,0.84,0.5
google-collections.csv,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
jchassis.csv,0.02,0.0,0.0,0.0,0.0,0.03,0.01,0.0,1.0,0.0,0.0,0.0,0.0
jpaul.csv,0.35,0.66,0.24,0.1,0.88,0.3,0.12,0.57,1.0,0.15,0.0,0.0,0.0
neodatis-odb.csv,0.95,0.66,0.79,0.59,0.65,0.7,0.53,0.86,1.0,0.66,0.65,0.32,0.25
octet.csv,0.26,0.4,0.59,0.34,0.35,0.51,0.92,0.71,0.0,0.41,0.5,0.46,0.25
thedata.csv,0.7,0.52,0.69,0.52,0.41,0.57,0.62,0.43,0.0,0.41,0.7,0.54,1.0
