,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.36,0.74,0.63,0.3,0.36,0.96,0.23,0.51,0.25,0.18,0.45,0.26,0.23,0.37,0.94,0.46
bdbbasic.csv,0.66,0.67,0.61,0.54,0.53,0.58,0.28,0.35,0.87,0.54,0.69,0.49,0.34,0.55,0.64,0.63
crux-framework.csv,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0
echongl.csv,0.56,0.45,0.54,0.47,0.67,0.41,0.57,0.63,0.39,0.97,0.59,0.57,0.0,0.47,0.35,0.34
etherboot.csv,0.48,0.21,0.07,0.12,1.0,0.13,0.14,0.12,0.24,0.19,0.25,0.34,0.23,0.3,0.38,0.18
freebios.csv,0.54,0.63,0.46,0.42,0.45,0.45,0.98,0.46,0.63,0.42,0.6,0.39,0.37,0.51,0.76,0.38
gebr.csv,0.52,0.47,0.62,0.58,0.63,0.41,0.47,0.98,0.55,0.38,0.54,0.69,0.0,0.61,0.51,0.58
glelite.csv,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,1.0,0.0,0.0,0.0
gnukeda.csv,0.58,0.78,0.64,0.95,0.54,0.6,0.35,0.72,0.73,0.37,0.48,0.68,0.63,0.5,0.54,0.68
google-gears.csv,0.58,0.67,0.63,0.65,0.57,0.66,0.32,0.7,0.67,0.3,0.54,0.99,0.0,0.59,0.87,0.56
gstreamer.csv,0.54,0.75,0.61,0.42,0.39,0.66,0.36,0.59,0.69,0.58,0.56,0.49,0.44,0.98,0.36,0.64
jnode.csv,0.0,0.11,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0
metacosm.csv,0.36,0.78,0.35,0.43,0.17,0.71,0.07,0.33,0.47,0.39,0.42,0.3,0.32,0.32,0.37,0.94
openmeetings.csv,0.19,0.96,0.36,0.18,0.11,0.4,0.17,0.05,0.37,0.32,0.3,0.25,0.04,0.44,0.38,0.42
tradelink.csv,0.04,0.0,0.07,0.04,0.0,0.19,0.05,0.0,0.06,0.15,0.91,0.12,0.01,0.02,0.0,0.0
wxcrp.csv,0.95,0.52,0.71,0.27,0.11,0.26,0.02,0.24,0.13,0.13,0.46,0.25,0.11,0.15,0.75,0.41
