,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.32,0.73,0.62,0.26,0.32,0.95,0.2,0.57,0.21,0.15,0.42,0.22,0.19,0.33,1.0,0.41
bdbbasic.csv,0.68,0.64,0.62,0.51,0.5,0.57,0.24,0.3,0.84,0.6,0.68,0.45,0.29,0.52,0.67,0.59
crux-framework.csv,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.0
echongl.csv,0.65,0.45,0.56,0.54,0.82,0.68,0.59,0.64,0.89,0.97,0.58,0.68,0.85,0.74,0.33,0.33
etherboot.csv,0.45,0.18,0.06,0.1,1.0,0.11,0.12,0.1,0.21,0.16,0.21,0.29,0.19,0.26,0.33,0.15
freebios.csv,0.55,0.59,0.44,0.51,0.45,0.41,0.98,0.49,0.68,0.37,0.63,0.39,0.33,0.53,1.0,0.33
gebr.csv,0.84,0.91,0.75,0.64,0.86,1.0,0.65,0.98,0.89,0.98,0.74,0.77,0.74,0.89,1.0,0.85
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
gnukeda.csv,0.81,0.82,0.75,0.95,0.73,0.97,0.37,0.79,0.79,0.91,0.53,0.72,0.82,0.48,1.0,0.81
google-gears.csv,0.94,0.68,0.62,0.85,0.82,0.84,0.73,0.81,0.84,0.94,0.89,1.0,0.79,0.61,1.0,0.56
gstreamer.csv,0.52,0.77,0.62,0.38,0.36,0.78,0.33,0.58,0.74,0.57,0.53,0.45,0.48,0.98,0.33,0.67
jnode.csv,0.0,0.09,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0
metacosm.csv,0.32,0.77,0.31,0.38,0.14,0.73,0.06,0.28,0.42,0.35,0.37,0.26,0.27,0.27,0.33,0.93
openmeetings.csv,0.16,0.95,0.31,0.15,0.09,0.35,0.14,0.04,0.32,0.28,0.26,0.21,0.03,0.39,0.33,0.37
tradelink.csv,0.03,0.0,0.06,0.03,0.0,0.16,0.04,0.0,0.05,0.12,0.89,0.1,0.01,0.02,0.0,0.0
wxcrp.csv,0.94,0.59,0.81,0.23,0.09,0.22,0.02,0.2,0.11,0.11,0.42,0.21,0.09,0.12,1.0,0.37
