,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.63,0.81,0.19,0.46,0.73,0.71,0.71,0.6,0.97,0.15,0.58,0.44,0.2,0.47,0.69,0.19,0.67,0.56
encog-cs.csv,0.73,0.9,0.84,0.7,0.62,0.71,0.95,0.69,0.87,0.95,0.57,0.89,0.8,0.69,0.84,0.86,0.67,0.54
geochat.csv,0.12,0.57,0.02,0.11,0.16,0.81,0.08,0.38,0.09,0.95,0.14,0.86,0.8,0.04,0.82,0.22,0.9,0.82
ibatisdb.csv,0.33,0.67,0.51,0.54,0.32,0.16,0.14,0.29,0.05,0.65,0.19,1.0,0.4,0.36,0.24,0.69,0.43,0.1
inkscape.csv,0.45,0.67,0.98,0.3,0.46,0.31,0.15,0.07,0.06,0.1,0.09,0.08,0.4,0.29,0.02,0.22,0.13,0.35
jam-daq.csv,0.37,0.67,0.51,0.52,0.41,0.24,0.45,1.0,0.35,0.2,0.32,0.22,0.2,0.53,0.56,0.36,0.13,0.48
jhotdraw.csv,0.13,0.38,0.0,0.02,0.08,0.95,0.08,0.13,0.01,0.45,0.05,0.08,0.2,0.02,0.44,0.0,0.17,0.1
ninject.csv,0.0,0.67,0.05,0.02,0.08,0.44,0.09,0.07,0.04,0.15,0.18,0.75,1.0,0.02,0.18,0.0,0.13,0.21
ofbiz.csv,0.27,0.81,0.37,0.48,0.35,0.45,0.21,0.18,0.08,0.1,0.98,0.31,0.6,0.51,0.16,0.31,0.27,0.42
oorexx.csv,0.7,0.71,0.79,0.59,0.54,0.71,0.8,0.73,0.53,0.5,0.51,0.92,0.8,0.62,0.78,0.94,0.4,0.5
opentibia.csv,1.0,0.81,0.95,0.8,0.86,0.48,0.59,0.44,0.16,0.3,0.55,0.22,0.8,0.78,0.27,0.94,0.73,0.58
projectts.csv,0.41,0.9,0.56,0.59,1.0,0.34,0.45,0.62,0.56,0.4,0.57,0.83,0.2,0.64,0.58,0.58,0.23,0.55
retromenu.csv,0.1,0.95,0.09,0.32,0.11,0.11,0.18,0.13,0.13,0.1,0.2,0.08,0.2,0.4,0.16,0.19,0.1,0.05
roolo.csv,0.1,0.1,0.0,0.12,0.05,0.08,0.06,0.04,0.08,1.0,0.19,0.03,0.2,0.04,0.09,0.0,0.03,0.05
tango-cs.csv,0.37,0.48,0.37,0.52,0.35,0.31,0.44,0.49,0.25,0.25,0.22,0.47,0.2,0.53,0.93,0.53,0.4,0.31
trinitycore.csv,0.18,0.38,0.23,0.86,0.19,0.52,0.67,0.62,0.66,0.8,0.71,0.53,1.0,0.95,0.78,0.36,0.4,0.42
uface.csv,0.94,0.81,0.95,0.96,0.97,0.81,0.92,0.96,0.31,0.6,0.83,0.92,0.8,0.98,0.36,0.94,0.87,0.98
uwom-server.csv,0.2,0.57,0.28,0.86,0.35,0.48,0.56,0.8,0.61,0.3,0.48,0.11,0.6,0.76,0.56,0.19,0.2,0.43
