,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.6,0.72,0.22,0.46,0.54,0.6,0.64,0.59,0.97,0.18,0.54,0.4,0.24,0.47,0.64,0.22,0.63,0.6
encog-cs.csv,0.67,0.37,0.6,0.61,0.51,0.56,0.96,0.45,0.24,0.57,0.5,0.64,0.43,0.61,0.54,0.57,0.54,0.3
geochat.csv,0.14,0.28,0.02,0.13,0.19,0.52,0.1,0.39,0.11,0.38,0.17,0.44,0.78,0.05,0.54,0.25,0.92,0.09
ibatisdb.csv,0.36,0.62,0.52,0.54,0.35,0.19,0.17,0.33,0.06,0.6,0.23,1.0,0.44,0.4,0.27,0.62,0.44,0.12
inkscape.csv,0.5,0.62,0.98,0.34,0.49,0.35,0.18,0.09,0.07,0.12,0.11,0.1,0.45,0.33,0.02,0.25,0.16,0.4
jam-daq.csv,0.42,0.66,0.54,0.55,0.45,0.28,0.48,1.0,0.39,0.24,0.36,0.26,0.24,0.56,0.56,0.4,0.16,0.53
jhotdraw.csv,0.16,0.43,0.0,0.02,0.1,0.96,0.1,0.16,0.01,0.47,0.06,0.1,0.24,0.02,0.47,0.0,0.2,0.12
ninject.csv,0.0,0.68,0.06,0.02,0.1,0.48,0.11,0.09,0.05,0.18,0.22,0.76,1.0,0.02,0.21,0.0,0.16,0.25
ofbiz.csv,0.31,0.79,0.41,0.52,0.4,0.48,0.25,0.21,0.1,0.12,0.98,0.34,0.62,0.55,0.19,0.35,0.31,0.47
oorexx.csv,0.67,0.6,0.68,0.6,0.51,0.69,0.68,0.63,0.48,0.43,0.52,0.75,0.78,0.61,0.68,0.95,0.41,0.54
opentibia.csv,1.0,0.72,0.33,0.43,0.36,0.5,0.59,0.47,0.19,0.34,0.57,0.25,0.78,0.42,0.31,0.3,0.63,0.61
projectts.csv,0.46,0.72,0.54,0.59,0.99,0.38,0.48,0.59,0.58,0.44,0.58,0.76,0.24,0.62,0.58,0.59,0.26,0.58
retromenu.csv,0.12,0.96,0.11,0.37,0.13,0.13,0.21,0.16,0.16,0.12,0.24,0.1,0.24,0.45,0.19,0.22,0.12,0.06
roolo.csv,0.12,0.12,0.0,0.15,0.06,0.1,0.07,0.05,0.1,1.0,0.22,0.04,0.23,0.05,0.11,0.0,0.04,0.06
tango-cs.csv,0.41,0.51,0.41,0.55,0.39,0.35,0.48,0.53,0.29,0.29,0.26,0.49,0.24,0.56,0.94,0.54,0.44,0.36
trinitycore.csv,0.21,0.4,0.27,0.88,0.22,0.5,0.59,0.47,0.35,0.67,0.56,0.51,0.49,0.96,0.45,0.4,0.42,0.32
uface.csv,0.49,0.26,0.33,0.3,0.0,0.6,0.49,0.42,0.36,0.56,0.59,0.73,0.56,0.3,0.4,0.4,0.55,0.98
uwom-server.csv,0.24,0.54,0.32,0.88,0.4,0.5,0.52,0.69,0.48,0.32,0.51,0.13,0.58,0.8,0.53,0.22,0.24,0.4
