,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.0,0.97,0.32,0.15,0.37,0.46,0.18,0.33,0.13,0.0,0.0,0.25
emono.csv,0.61,0.3,0.79,0.37,0.4,0.72,0.68,0.75,0.15,0.0,0.34,1.0
freedom-erp.csv,0.17,0.5,0.55,0.0,0.15,0.1,0.03,0.98,0.0,0.0,0.35,0.3
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.97,0.31,0.65,0.07,0.27,0.73,0.62,0.76,0.17,0.0,0.16,0.2
jmonkeyengine.csv,0.22,0.22,0.26,0.36,0.97,0.7,0.19,0.58,0.06,0.0,0.35,0.33
jsidplay2.csv,0.6,0.34,1.0,0.36,0.42,0.64,0.58,0.74,0.18,0.0,0.36,0.72
matrex.csv,0.61,0.14,0.61,0.16,0.37,0.7,0.98,0.81,0.22,0.0,0.1,0.3
mediate.csv,0.54,0.3,0.67,0.43,0.31,0.99,0.64,0.75,0.15,0.09,0.0,0.51
mesa3d.csv,0.51,0.26,0.48,0.15,0.24,0.44,0.33,0.28,0.0,0.15,0.86,0.4
pustefix.csv,0.52,0.42,0.66,0.96,0.25,0.39,0.63,0.39,0.12,0.0,0.32,0.33
reaper3d.csv,0.0,0.29,0.29,0.0,0.26,0.33,0.4,0.06,0.93,0.12,0.09,0.05
