,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.56,0.98,0.71,0.91,0.79,0.52,0.97,0.61,0.68,0.64,0.64,0.95
archive-crawler.csv,0.62,0.61,0.61,0.66,0.63,0.41,0.53,0.54,0.59,0.59,0.37,0.88
blue-c.csv,0.4,0.44,0.33,0.62,0.56,0.48,0.46,0.54,0.46,0.45,0.36,0.4
dynalloy.csv,0.47,0.62,0.8,0.67,0.63,0.65,0.68,0.47,0.63,0.5,0.5,0.69
jcae.csv,0.64,0.83,0.62,0.69,0.6,0.44,0.62,0.67,0.87,0.42,0.53,0.96
kmatplot.csv,0.58,0.47,0.4,0.38,0.86,0.37,0.55,0.62,0.49,0.43,0.42,0.39
mscore.csv,0.39,0.39,0.29,0.39,0.51,0.36,0.43,0.42,0.39,0.34,0.32,0.35
nosleepsoftware.csv,0.75,0.67,0.0,0.56,0.0,0.0,0.87,0.86,0.67,0.91,0.75,0.0
openmalaria.csv,0.43,0.38,0.29,0.34,0.41,0.32,0.36,0.4,0.36,0.4,0.3,0.32
popeye-chess.csv,0.5,0.57,0.45,0.38,0.42,0.38,0.39,0.52,0.6,0.42,0.4,0.37
riff-evolve.csv,0.48,0.67,0.29,0.69,0.45,0.64,0.56,0.72,0.54,0.53,0.42,0.34
virtuoso.csv,0.46,0.39,0.3,0.43,0.52,0.42,0.41,0.4,0.45,0.4,0.35,0.74
