,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.5,0.0,0.39,0.61,0.32,0.4,0.78,0.78,0.64,0.27,0.59,0.55,0.13
autofac.csv,0.5,0.06,0.15,0.5,0.39,0.74,0.6,0.47,0.74,0.41,0.49,0.17,0.29
coot.csv,1.0,0.0,0.06,0.68,0.88,0.59,0.02,0.92,0.88,0.29,0.27,0.5,0.76
dsworkbench.csv,0.0,0.25,0.18,0.07,0.05,0.26,0.44,0.02,0.02,0.52,0.19,0.19,0.16
emono.csv,1.0,0.38,0.67,0.86,0.9,0.79,0.27,0.96,0.98,0.47,0.57,0.38,0.52
exist.csv,0.5,0.75,0.88,0.5,0.73,0.8,0.28,0.65,0.53,0.36,0.73,0.45,0.44
freelords.csv,0.5,0.81,0.52,0.43,0.34,0.86,0.89,0.35,0.26,0.98,0.84,0.98,0.94
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.02,0.08,0.02,0.0,0.0,0.0
jpaul.csv,0.5,0.88,0.12,0.11,0.34,0.34,0.11,0.22,0.26,0.06,0.0,0.0,0.13
neodatis-odb.csv,1.0,0.19,0.64,0.36,0.66,0.24,0.41,0.35,0.71,0.3,0.35,0.12,0.06
octet.csv,0.0,0.38,0.36,0.25,0.46,0.26,0.82,0.16,0.18,0.32,0.35,0.45,0.35
thedata.csv,1.0,0.31,0.76,0.75,0.8,0.57,0.6,0.73,0.42,0.29,0.57,0.5,0.05
