,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.7,0.8,0.68,0.61,0.84,0.73,0.42,0.46,0.73,0.59,0.41,0.58,0.88
autofac.csv,0.57,0.83,0.5,0.43,0.45,0.43,0.4,0.46,0.57,0.42,0.33,0.5,0.79
coot.csv,0.42,0.0,0.83,0.62,0.49,0.66,0.5,0.5,0.57,0.45,0.42,0.52,0.48
dsworkbench.csv,0.88,0.45,0.75,0.66,0.67,0.66,0.53,0.5,0.0,0.76,0.92,0.97,0.9
emono.csv,0.56,0.88,0.54,0.48,0.5,0.53,0.96,0.49,0.51,0.55,0.52,0.57,0.66
exist.csv,0.51,0.36,0.34,0.38,0.38,0.38,0.39,0.38,0.4,0.42,0.42,0.41,0.41
freelords.csv,0.34,0.38,0.35,0.5,0.41,0.41,0.35,0.52,0.59,0.44,0.44,0.45,0.39
google-collections.csv,0.36,0.36,0.32,0.38,0.45,0.4,0.34,0.45,0.5,0.43,0.45,0.43,0.36
jchassis.csv,0.5,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.86,0.0,0.0,0.0,0.0
jpaul.csv,0.53,0.4,0.92,0.83,0.47,0.87,0.94,0.79,0.95,0.8,0.0,0.0,0.88
neodatis-odb.csv,0.41,0.59,0.47,0.69,0.54,0.74,0.63,0.75,0.49,0.65,0.46,0.77,0.8
octet.csv,0.93,0.57,0.56,0.61,0.56,0.58,0.4,0.85,0.67,0.71,0.48,0.77,0.52
thedata.csv,0.43,0.5,0.43,0.54,0.55,0.57,0.51,0.56,0.68,0.45,0.42,0.49,0.86
