,selenium.csv,pcgen.csv,lockss.csv,webdriver.csv,tolven.csv,personalaccess.csv
lockss.csv,0.91,0.94,0.9,0.9,0.94,0.89
pcgen.csv,0.92,0.52,0.57,0.75,0.56,0.8
personalaccess.csv,0.48,0.43,0.51,0.37,0.37,0.39
selenium.csv,0.53,0.53,0.44,0.48,0.43,0.46
tolven.csv,0.71,0.47,0.55,0.88,0.6,0.6
webdriver.csv,0.58,0.72,0.75,0.52,0.55,0.52
