,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.17,0.93,0.0,0.06,0.93,0.79,0.55,0.31,0.38,0.46,0.45,0.8,0.16,0.06,0.19,0.12,0.11,0.41
encog-cs.csv,0.25,0.36,0.41,0.3,0.52,0.75,0.29,0.72,0.94,0.86,0.57,0.7,0.42,0.34,0.9,0.16,0.52,0.94
geochat.csv,0.08,0.51,0.25,0.49,0.33,0.6,0.06,0.2,0.03,0.24,0.24,0.22,0.15,0.53,0.23,0.52,0.26,0.04
ibatisdb.csv,0.08,0.04,0.19,0.32,0.19,0.18,0.31,0.06,0.0,0.14,0.06,0.18,0.05,0.36,0.22,0.2,0.28,0.0
inkscape.csv,0.42,1.0,0.25,0.52,0.63,0.97,0.99,0.78,0.65,0.59,0.98,0.97,1.0,0.51,0.77,0.88,0.61,0.91
jam-daq.csv,0.17,0.44,0.06,0.18,0.0,0.42,0.03,0.28,0.03,0.16,0.22,0.15,0.11,0.16,0.19,0.08,0.33,0.07
jhotdraw.csv,0.5,0.62,0.47,0.61,0.37,0.16,0.95,0.24,0.74,0.3,0.61,0.66,0.89,0.64,0.72,0.72,0.16,0.72
ninject.csv,0.42,0.0,0.38,0.39,0.26,0.37,0.06,0.17,0.09,0.32,0.21,0.29,0.16,0.4,0.55,0.44,0.32,0.31
ofbiz.csv,0.5,0.71,0.47,0.69,0.48,0.67,0.46,0.31,0.09,0.27,0.37,0.55,0.67,0.68,0.33,0.32,0.48,0.15
oorexx.csv,0.17,0.53,0.47,0.33,0.44,0.41,0.43,0.52,0.59,0.46,0.28,0.39,0.29,0.33,0.59,0.44,0.41,0.19
opentibia.csv,0.25,0.36,0.19,0.31,0.37,0.09,0.52,0.19,0.82,0.76,0.25,0.41,0.13,0.31,0.57,0.04,0.54,0.3
projectts.csv,0.17,0.82,0.69,0.69,0.44,0.56,0.41,0.24,0.12,0.38,0.35,0.51,0.49,0.67,0.45,0.6,0.57,0.11
retromenu.csv,0.25,0.22,0.06,0.18,0.11,0.1,0.58,0.13,0.15,0.11,0.12,0.29,0.04,0.18,0.36,0.12,0.0,0.04
roolo.csv,0.58,0.82,0.62,0.66,0.37,0.78,0.53,0.57,0.29,0.22,0.81,0.81,1.0,0.64,0.77,0.8,0.88,0.93
tango-cs.csv,0.83,0.96,0.75,0.85,0.81,0.7,0.81,0.76,0.88,0.97,0.6,0.71,0.47,0.85,0.35,0.4,0.9,0.57
trinitycore.csv,0.17,0.09,0.41,0.34,0.37,0.42,0.13,0.48,0.62,0.22,0.7,0.31,0.51,0.37,0.75,0.52,0.09,0.76
uface.csv,0.83,0.73,0.84,0.79,0.48,0.94,0.65,0.94,0.74,0.54,0.72,0.52,0.78,0.79,0.61,1.0,0.97,0.04
uwom-server.csv,0.25,0.13,0.16,0.37,0.59,0.17,0.42,0.19,0.71,0.11,0.51,0.63,0.35,0.35,0.58,0.44,0.15,0.57
