,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.67,0.93,0.38,0.91,0.98,0.66,0.93,0.64,0.76,0.88,0.63,0.68,0.88
flylinkdc.csv,0.37,0.88,0.95,0.91,0.88,0.84,0.24,0.9,0.61,0.64,0.63,0.94,0.64
fw4spl.csv,0.72,0.73,0.78,0.71,0.5,0.88,0.62,0.73,0.52,0.71,0.81,0.76,0.73
grisbi.csv,0.74,1.0,0.84,0.88,0.98,0.76,0.18,0.85,0.74,0.76,0.9,0.58,0.83
mesa3d.csv,0.66,0.71,0.58,0.87,0.78,0.62,0.53,0.97,0.71,0.72,0.72,0.5,0.7
nuttx.csv,0.45,0.62,0.84,0.61,0.59,0.55,0.7,0.64,0.48,0.58,0.7,0.78,0.71
panda3d.csv,0.87,0.73,0.7,0.63,0.77,0.72,0.43,0.45,0.5,0.51,0.57,0.72,0.81
proftp.csv,0.74,1.0,0.87,0.71,0.84,0.34,0.73,1.0,0.81,0.67,0.94,1.0,0.58
qmmp.csv,0.61,0.74,0.62,0.79,0.91,0.58,0.45,0.96,0.77,0.74,0.4,0.83,0.8
skia.csv,0.61,0.74,0.85,0.64,0.73,0.46,0.61,0.9,0.82,0.65,0.73,0.6,0.45
tart.csv,0.62,0.9,0.84,0.7,0.71,0.81,0.51,0.89,0.17,0.71,0.65,0.81,0.67
tcvp.csv,0.97,1.0,1.0,1.0,0.92,1.0,0.98,0.35,1.01,1.0,1.0,1.0,0.98
utgb.csv,0.58,0.83,0.74,0.29,0.56,0.65,0.58,0.63,0.55,0.64,0.64,0.65,0.67
