,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.65,0.05,0.23,0.0,0.02,0.27,0.86,0.46,0.47,0.33,0.45,0.54,0.63
flylinkdc.csv,0.25,0.87,0.95,0.9,0.82,0.84,0.07,0.46,0.57,0.53,0.44,0.93,0.57
fw4spl.csv,0.56,0.23,0.4,0.42,0.24,0.43,0.43,0.65,0.33,0.35,0.06,0.59,0.59
grisbi.csv,0.74,1.0,0.82,0.87,0.98,0.76,0.07,0.85,0.74,0.75,0.89,0.56,0.83
mesa3d.csv,0.52,0.46,0.39,0.26,0.78,0.59,0.21,0.97,0.69,0.5,0.66,0.28,0.63
nuttx.csv,0.28,0.54,0.21,0.23,0.31,0.49,0.0,0.54,0.48,0.21,0.32,0.22,0.59
panda3d.csv,0.07,0.36,0.51,0.48,0.25,0.62,0.14,0.39,0.46,0.33,0.39,0.3,0.33
proftp.csv,0.12,0.0,0.13,0.48,0.11,0.24,0.07,0.01,0.13,0.24,0.11,0.0,0.26
qmmp.csv,0.52,0.64,0.47,0.58,0.91,0.35,0.36,0.93,0.66,0.4,0.19,0.76,0.57
skia.csv,0.14,0.36,0.15,0.42,0.2,0.43,0.0,0.12,0.16,0.19,0.31,0.3,0.22
tart.csv,0.52,0.31,0.57,0.61,0.64,0.81,0.5,0.89,0.17,0.19,0.48,0.14,0.54
tcvp.csv,0.04,0.0,0.02,0.0,0.06,0.0,0.0,0.27,0.11,0.04,0.0,0.0,0.22
utgb.csv,0.21,0.23,0.21,0.13,0.31,0.32,0.07,0.45,0.38,0.21,0.15,0.42,0.41
