,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.44,0.58,0.13,0.9,0.33,0.97,0.97,0.41,0.53,0.08,0.12,0.07,0.14
ivef-sdk.csv,0.77,0.63,0.68,1.0,0.7,1.0,0.24,0.05,0.83,0.77,0.0,0.6,0.2
jmri.csv,0.58,0.57,0.98,0.3,0.52,1.0,0.48,0.55,0.83,0.49,0.5,0.35,0.69
jython.csv,0.69,0.65,0.77,0.93,0.78,0.99,0.91,1.0,0.83,0.85,0.5,0.83,0.66
kdenlive.csv,0.99,0.72,0.47,0.4,0.56,0.85,0.7,0.91,0.9,0.38,0.75,0.44,0.4
opentibia.csv,0.99,1.0,0.37,0.9,0.3,0.96,0.61,0.55,0.97,0.28,0.88,0.39,0.94
projectfactory.csv,0.54,0.47,0.26,0.7,0.59,0.13,0.36,1.0,0.5,0.95,0.75,0.28,0.77
runuomondains.csv,0.3,0.23,0.05,0.3,0.19,0.3,0.03,0.14,0.07,0.05,0.88,0.07,0.17
somap.csv,1.0,1.0,0.95,1.0,0.96,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
taverna.csv,0.15,0.14,0.14,0.1,1.0,0.42,0.3,0.09,0.13,0.23,0.0,0.12,0.37
tigermud.csv,0.44,0.51,0.39,0.9,0.7,0.55,0.94,0.68,0.23,0.23,0.62,0.44,0.86
unbvision.csv,0.65,0.39,0.91,0.47,0.07,0.48,0.27,0.77,1.0,0.56,0.38,0.47,0.23
x-ray-mule.csv,0.39,0.17,0.44,0.97,0.48,0.1,0.06,0.14,0.57,0.54,0.0,0.4,0.2
