,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.53,0.86,0.42,0.64,0.41,0.96,1.0,0.64,0.21,0.43,0.04,1.0,1.0
ivef-sdk.csv,0.71,0.95,0.5,0.67,0.33,1.0,0.27,1.0,0.28,0.47,0.0,0.88,0.41
jmri.csv,0.75,0.89,0.99,0.47,0.33,0.7,0.37,0.08,0.25,0.46,0.14,0.89,0.59
jython.csv,0.68,0.95,0.48,0.68,0.32,0.72,0.48,1.0,0.25,0.47,0.15,0.91,0.66
kdenlive.csv,0.99,0.91,0.52,0.57,0.48,0.89,0.59,0.45,0.32,0.5,0.12,1.0,0.61
opentibia.csv,0.65,1.0,0.39,0.57,0.36,0.93,0.67,0.08,0.32,0.5,0.14,0.97,0.65
projectfactory.csv,0.72,0.95,0.59,0.66,0.39,0.9,0.35,0.15,0.34,1.0,0.27,0.95,0.66
runuomondains.csv,0.49,0.73,0.3,0.6,0.5,0.87,0.25,0.5,1.0,0.5,1.0,1.0,0.33
somap.csv,0.65,0.87,0.47,0.6,0.34,0.69,0.51,0.13,0.26,0.48,0.12,0.99,0.62
taverna.csv,0.55,0.92,0.41,0.75,1.0,0.97,0.56,0.5,0.33,0.41,0.0,1.0,0.62
tigermud.csv,0.46,0.88,0.35,0.63,0.43,1.0,0.57,0.29,0.13,0.5,0.1,0.86,0.91
unbvision.csv,0.67,0.86,0.48,0.58,0.29,0.86,0.28,0.31,1.0,0.46,0.3,0.85,0.42
x-ray-mule.csv,0.68,0.93,0.45,1.0,0.35,1.0,0.17,0.27,0.19,0.4,0.0,0.88,0.7
