,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.35,0.62,0.42,0.53,0.96,0.45,0.21,0.4,0.57,0.41,0.34,0.24,0.55,0.35,0.33,0.72,0.58,0.29,0.47
autofac.csv,0.58,0.69,0.38,0.98,0.41,0.35,0.6,0.53,0.45,0.79,0.23,0.69,0.48,0.61,0.59,0.75,0.59,0.58,0.28
avisynth2.csv,0.0,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.13,0.06,1.0,0.0,0.0,0.05,0.01,0.0
azureus.csv,0.43,0.57,0.34,0.51,0.18,0.18,0.54,0.31,0.54,0.63,0.59,1.0,0.4,0.0,0.44,0.31,0.46,0.72,0.29
dsworkbench.csv,0.48,0.14,1.0,0.47,0.52,0.37,0.45,0.46,0.29,0.14,0.0,0.52,0.46,0.36,0.33,0.4,0.48,0.2,0.75
forester-atv.csv,0.01,0.97,0.34,0.04,0.06,0.13,0.15,0.35,0.35,0.29,0.0,0.33,0.15,0.0,0.17,0.18,0.21,0.18,0.0
freelords.csv,0.73,0.5,0.7,0.53,0.48,0.98,0.65,0.54,0.63,0.71,0.59,0.54,0.74,0.52,0.63,0.49,0.53,0.66,0.48
gabel.csv,0.01,0.0,0.0,0.17,0.0,0.04,0.46,0.0,0.12,1.0,0.42,0.05,0.12,0.0,0.17,0.05,0.18,0.12,0.0
geotools.csv,0.34,0.31,0.3,0.31,0.29,0.18,0.34,0.43,0.24,0.0,0.34,0.34,0.31,0.64,0.48,0.1,0.95,0.35,0.29
google-collections.csv,0.99,0.0,0.24,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.43,0.39,0.32,0.56,0.0,0.0,1.0,0.26,0.34,0.53,0.0,0.52,0.36,0.0,0.33,0.4,0.33,0.19,0.29
mycila.csv,0.01,0.05,0.26,0.41,0.14,0.12,0.0,0.13,0.38,0.0,1.0,0.15,0.1,0.0,0.32,0.05,0.15,0.18,0.29
neodatis-odb.csv,0.24,0.49,0.43,0.47,0.27,0.21,0.59,0.93,0.6,0.41,0.24,0.27,0.4,0.0,0.43,0.47,0.28,0.39,0.52
octet.csv,0.0,0.7,0.58,0.33,0.12,0.28,0.39,0.42,0.12,0.64,0.24,0.66,0.31,0.0,0.75,0.68,0.59,0.55,0.29
pokenetonline.csv,0.5,0.57,0.64,0.42,0.44,0.41,0.33,0.34,0.35,0.42,0.34,0.57,0.98,0.37,0.48,0.62,0.56,0.51,0.0
rcp-company-uibindings.csv,0.78,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.0,0.17,0.0,0.24,0.4,0.36,0.0,0.0,0.13,0.98,0.23
scenemonitor.csv,0.66,0.64,0.61,0.47,0.36,0.51,0.7,0.46,0.96,0.72,0.33,0.66,0.57,0.87,0.33,0.53,0.59,0.63,0.0
thedata.csv,0.07,0.22,0.3,0.41,0.39,0.31,0.07,0.43,0.34,0.0,0.53,0.19,0.2,0.36,0.33,0.36,0.26,0.42,1.0
twostep.csv,0.17,0.77,0.56,0.52,0.32,0.32,0.62,0.52,0.44,0.7,0.47,0.62,0.43,0.0,0.34,1.0,0.62,0.48,0.29
