,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,88.5,181.5,69.5,197.5,73.5,99.0,2105.5,195.5,195.0,197.5
autoopencas.csv,190.0,283.5,872.0,1963.5,627.5,99.0,700.0,291.0,260.5,1957.5
gogoego.csv,97.5,192.0,485.0,98.5,675.0,99.0,77.5,390.5,98.5,98.5
jam-daq.csv,97.5,94.5,388.5,98.5,555.5,99.0,822.5,96.5,96.5,98.5
jhotdraw.csv,191.0,184.5,1071.5,98.5,622.5,98.5,2092.0,489.5,279.5,98.5
pokeglobal.csv,97.5,192.0,389.5,197.5,263.5,99.0,2674.5,293.0,98.5,197.5
robocode.csv,97.5,94.5,490.5,98.5,646.0,98.5,632.5,96.5,98.5,98.5
springside.csv,97.5,192.0,1261.0,197.5,677.0,99.0,1213.0,193.0,98.5,197.5
trinitycore.csv,151.0,292.5,580.5,295.0,80.5,99.0,77.5,502.0,96.5,196.5
uwom-server.csv,94.5,94.5,482.5,196.5,149.0,99.0,166.0,239.5,96.5,196.5
