,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.77,0.25,0.5,0.12,0.1,0.21,0.45,0.26,0.49,0.36,0.05,0.5,0.61,0.17,0.63,0.0
customsagetv.csv,0.68,0.2,0.29,0.24,0.41,0.43,0.39,0.2,0.3,0.62,0.89,0.35,0.62,0.17,0.65,0.12
glas.csv,0.68,0.26,0.47,0.59,0.71,0.5,0.61,0.51,0.39,0.62,0.59,0.49,0.87,0.65,0.54,0.53
intact.csv,0.74,0.7,0.5,0.64,0.37,0.48,0.59,0.54,0.74,0.35,0.56,0.29,0.78,0.23,0.65,0.44
japano.csv,0.44,0.42,0.45,0.46,0.0,0.67,0.33,0.49,0.2,0.0,0.21,0.37,0.23,0.43,0.64,0.17
jas.csv,0.5,0.1,0.4,0.53,0.46,0.27,0.24,0.3,0.28,0.33,0.42,0.48,0.24,0.26,0.87,0.31
lazarus-ccr.csv,0.39,0.77,0.71,0.48,0.48,0.43,0.53,0.3,0.6,0.51,0.02,0.51,0.44,0.44,0.35,0.47
officefloor.csv,0.64,0.45,0.45,0.44,0.04,0.44,0.35,0.67,0.65,0.65,0.12,0.06,0.38,0.22,0.0,0.06
primefaces.csv,0.0,0.0,0.0,0.47,0.57,0.62,0.36,0.0,0.09,0.0,0.39,0.47,0.0,0.0,0.51,0.82
pustefix.csv,0.61,0.05,0.38,0.57,0.32,0.39,0.41,0.64,0.39,0.35,0.48,0.52,0.23,0.19,0.28,0.41
red5.csv,0.17,0.64,0.45,0.53,0.33,0.49,0.65,0.13,0.46,0.52,0.19,0.32,0.65,0.64,0.54,0.52
redshell.csv,0.1,0.29,0.73,0.61,0.37,0.48,0.48,0.41,0.21,0.02,0.53,0.55,0.43,0.46,0.52,0.5
rohxel.csv,0.27,0.39,0.42,0.31,0.72,0.39,0.11,0.0,0.19,0.57,0.42,0.44,0.0,0.45,0.15,0.56
roolo.csv,0.38,0.5,0.64,0.5,0.27,0.37,0.45,0.46,0.51,0.58,0.76,0.72,0.7,0.43,0.24,0.48
toped.csv,0.52,0.59,0.39,0.52,0.0,0.0,0.13,0.24,0.39,0.8,0.72,0.44,0.13,0.09,0.33,0.37
xreal.csv,0.31,0.36,0.27,0.44,0.32,0.42,0.46,0.2,0.13,0.14,0.43,0.39,1.0,0.22,0.54,0.24
