,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,1.0,0.45,1.0,0.52,0.37,0.7,0.67,0.87,0.91,0.79,0.49,0.89,0.68,0.59,0.53,0.68
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.93,0.74,0.87,0.71
bionote.csv,0.71,0.4,0.7,0.83,0.73,1.0,0.84,0.87,0.66,0.75,0.72,0.87,0.19,0.66,0.59,0.81
bnetd.csv,0.84,1.0,0.89,0.62,0.85,0.62,0.81,1.0,0.63,0.61,0.35,1.0,0.72,1.0,0.94,0.85
elvishrayrenderer.csv,0.63,0.62,0.9,0.59,0.31,0.4,0.85,0.94,0.75,0.76,0.56,0.81,0.57,0.71,0.47,0.43
emisview.csv,0.79,1.0,0.67,0.57,0.55,0.39,0.81,0.88,0.51,1.0,0.56,0.86,0.57,0.83,0.54,0.94
hazelcast.csv,0.85,0.53,0.46,0.69,0.05,0.87,0.84,0.68,0.84,0.57,0.57,0.65,0.72,0.66,0.66,0.63
jitterbit.csv,1.0,0.63,0.57,0.57,0.91,0.72,0.69,0.98,0.37,0.84,0.92,0.7,0.76,0.71,0.68,0.59
jppf-project.csv,0.91,0.91,0.85,0.87,0.67,0.9,0.81,0.85,0.91,0.87,0.86,0.24,0.67,0.72,0.66,0.92
l2j.csv,0.85,0.54,0.57,0.57,0.5,0.71,0.86,0.76,0.71,0.58,0.52,0.86,0.8,0.46,0.81,0.67
megasquirtavr.csv,1.0,1.0,0.65,0.98,1.0,1.0,0.92,0.9,0.7,0.88,1.0,0.88,0.96,0.99,0.9,0.86
stajistics.csv,0.58,0.55,0.86,0.69,0.41,0.81,0.83,0.72,0.58,0.67,0.52,0.93,0.63,0.59,0.42,0.5
trackit.csv,0.72,0.88,0.77,0.74,0.68,0.86,0.55,0.93,0.77,0.82,0.91,0.69,0.88,0.81,0.8,0.89
wxlua.csv,0.78,0.92,0.87,0.87,1.0,0.87,0.77,1.0,0.63,0.53,0.97,0.86,0.76,0.83,0.83,0.82
x4x.csv,0.36,0.55,0.51,0.68,0.78,0.43,0.76,0.76,0.67,0.84,0.5,0.99,0.81,0.8,0.63,0.71
xharbour.csv,1.01,0.25,0.76,0.65,0.66,0.84,0.74,0.77,0.7,0.68,0.93,0.88,0.53,0.72,0.78,0.72
