,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.48,0.41,0.7,0.86,0.48,0.84,0.49,0.43,1.0,0.74,0.63,0.37,0.47,0.36,0.46,0.62,0.53
dynalloy.csv,0.76,0.83,0.36,0.71,1.13,1.0,0.51,0.86,0.58,0.73,0.83,0.87,0.75,0.72,0.63,0.64,0.61
enzo.csv,0.89,0.69,0.79,0.96,0.86,0.69,0.78,0.55,0.98,0.64,0.68,0.33,0.94,0.92,0.86,0.66,0.82
hydrogen.csv,0.63,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.56
jcae.csv,1.0,0.71,0.88,0.22,0.84,0.85,0.75,0.44,1.0,1.01,0.69,0.99,0.82,0.48,0.41,0.82,1.0
kmatplot.csv,1.01,0.3,0.71,0.6,0.98,0.78,0.54,0.55,0.8,1.0,0.99,1.0,0.62,0.72,0.94,0.85,0.51
lphant.csv,0.74,0.54,0.86,0.91,0.89,0.79,0.68,0.58,0.78,0.66,0.85,0.48,0.37,0.63,0.75,0.67,0.52
natpad.csv,0.62,0.49,0.77,0.93,1.04,0.75,0.59,0.62,0.81,0.74,0.9,0.98,0.74,0.69,0.49,0.68,0.43
nosleepsoftware.csv,0.67,0.93,0.98,0.89,0.37,1.0,0.99,1.0,0.97,1.0,1.0,0.88,1.01,0.95,0.81,0.77,0.96
ossbuild.csv,0.87,0.72,0.61,0.46,1.11,0.81,0.63,0.61,0.38,0.61,0.61,0.84,0.64,0.71,0.47,0.76,0.61
quarkplayer.csv,0.69,0.68,0.85,0.84,1.01,0.64,0.89,0.97,0.77,0.45,0.9,0.66,0.81,0.78,1.0,0.94,0.82
quickfast.csv,0.87,0.59,0.73,0.87,0.74,0.84,0.66,0.64,0.88,0.68,0.63,1.0,0.91,0.95,0.76,0.31,0.84
rezilla.csv,0.94,0.6,0.92,0.64,0.79,0.42,0.87,0.39,0.85,0.89,0.87,0.97,0.91,0.78,0.84,0.48,0.89
rhex.csv,0.3,0.64,0.86,0.89,0.43,0.9,0.77,0.52,1.0,0.94,0.76,0.63,0.95,0.83,0.69,0.67,0.95
rocrail.csv,0.53,0.52,0.63,0.75,0.6,0.72,0.48,0.31,0.95,0.65,0.56,0.75,0.86,0.45,0.32,0.57,0.58
virtuoso.csv,0.82,0.75,0.99,0.99,1.0,0.9,0.96,0.9,1.0,0.87,0.56,1.0,0.97,0.88,0.94,0.79,0.98
yield.csv,0.62,0.47,0.73,0.99,0.64,0.85,0.34,0.51,0.91,0.6,0.64,0.46,0.56,0.54,0.5,0.51,0.45
