,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.29,0.17,0.21,0.02,0.41,0.24,0.09,0.24,0.0,0.0,0.22,0.17,0.0,0.17,0.09,0.62,0.33,0.93,0.25,0.19
aubit4gl.csv,0.44,0.67,0.5,0.47,0.98,0.64,0.61,0.24,0.7,0.5,0.39,0.53,0.44,0.3,0.49,0.25,0.59,0.47,0.43,0.4
bionote.csv,0.0,0.0,0.0,0.11,0.2,0.0,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07,0.04,0.17
bullet.csv,0.69,0.67,0.86,0.16,0.83,1.0,0.7,0.76,0.5,0.83,0.83,0.44,0.56,0.8,0.74,0.75,0.83,0.73,0.79,0.74
customwars.csv,0.12,0.17,0.0,0.36,0.46,0.33,0.09,0.94,0.1,0.0,0.08,0.09,0.0,0.13,0.0,0.62,0.3,0.27,0.14,0.34
findbugs.csv,0.37,0.5,0.36,0.8,0.31,0.25,0.26,0.53,0.2,0.0,0.47,0.38,0.22,0.35,0.17,0.38,0.28,0.4,0.93,0.34
frogatto.csv,0.49,0.5,0.57,0.78,0.91,0.52,0.87,0.47,0.3,0.33,1.0,0.29,0.0,0.52,0.23,0.62,0.54,0.53,0.39,0.45
grisbi.csv,0.92,0.5,0.71,0.51,0.85,0.91,0.83,0.94,0.6,0.67,0.83,0.98,0.89,0.8,0.74,0.88,0.65,0.77,0.86,0.96
lsb.csv,0.86,0.67,0.79,0.98,0.8,0.84,0.83,1.0,0.8,0.83,0.83,0.77,0.89,0.78,0.6,0.88,0.74,0.8,1.0,0.81
oscarmcmaster.csv,0.08,0.17,0.07,0.0,0.0,0.04,0.04,0.24,0.1,0.0,0.08,0.05,0.0,0.22,0.43,0.0,0.09,0.1,0.21,0.81
plearn.csv,0.93,0.0,0.36,0.6,0.7,0.34,0.3,0.18,0.6,0.17,0.36,0.52,0.22,0.46,0.57,0.0,0.65,0.53,0.18,0.34
psrchive.csv,0.1,0.17,1.0,0.16,0.15,0.04,0.22,0.06,0.0,0.17,0.11,0.11,0.0,0.07,0.03,0.12,0.04,0.13,0.11,0.13
re2c.csv,0.37,1.0,0.71,0.67,0.57,0.39,0.09,0.29,0.9,0.67,0.56,0.42,0.22,0.35,0.49,0.12,0.81,0.2,0.18,0.17
rebecca-aiml.csv,0.36,0.67,0.57,0.89,0.74,0.39,0.3,0.65,0.4,0.83,0.39,0.38,0.33,0.46,0.14,0.25,1.0,0.47,0.36,0.43
rtrt-on-gpu.csv,0.37,0.17,0.36,0.67,0.59,0.43,0.48,0.18,1.0,0.33,0.53,0.32,0.11,0.28,0.46,0.12,0.52,0.33,0.39,0.23
stemkit.csv,0.05,0.33,0.0,0.53,0.13,0.16,0.17,0.06,0.2,1.0,0.11,0.14,0.0,0.07,0.14,0.0,0.07,0.07,0.07,0.02
tcvp.csv,0.39,0.67,0.43,0.6,0.74,0.46,0.0,0.12,0.5,0.83,0.5,0.32,0.89,0.41,0.2,0.25,0.61,0.33,0.5,0.3
tktoolkit.csv,0.24,0.33,0.57,0.64,0.52,0.4,0.91,0.41,0.3,0.67,0.47,0.42,0.0,0.26,0.23,0.62,0.39,0.37,0.5,0.34
tycho.csv,0.46,1.0,0.57,0.0,0.13,0.61,0.26,0.35,0.4,0.5,0.64,0.67,0.44,0.52,1.0,0.5,0.31,0.6,0.57,0.45
xstore.csv,0.61,0.67,0.71,0.82,0.94,0.7,0.87,0.71,0.3,0.5,0.75,0.8,0.67,0.98,0.37,0.75,0.76,0.7,0.57,0.51
