,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.84,0.67,0.86,0.0,0.53,0.7,0.94,0.94,0.0,0.75,0.89,0.91,0.67,0.83,0.67,0.92,0.73,0.9,0.91,0.95
aubit4gl.csv,0.65,0.5,0.6,0.75,0.52,0.49,0.48,0.76,0.47,0.56,0.63,0.51,0.72,0.75,0.62,0.61,0.51,0.77,0.55,0.65
bionote.csv,0.0,0.0,0.0,0.86,0.94,0.0,0.93,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.8,0.75,0.94
bullet.csv,0.47,0.41,0.36,0.9,0.33,0.4,0.39,0.35,0.42,0.38,0.39,0.59,0.56,0.47,0.47,0.38,0.51,0.45,0.31,0.39
customwars.csv,0.96,0.67,0.67,0.8,0.43,0.66,0.83,0.94,0.67,0.67,0.86,0.83,0.0,0.88,0.0,0.85,0.96,0.85,0.87,0.68
findbugs.csv,0.69,0.86,0.79,0.59,0.62,0.81,0.95,0.73,0.8,0.91,0.68,0.72,0.55,0.87,0.88,0.89,0.79,0.83,0.69,0.8
frogatto.csv,0.51,0.73,0.47,0.59,0.34,0.44,0.41,0.5,0.56,0.65,0.47,0.65,0.67,0.53,0.78,0.46,0.56,0.5,0.52,0.43
grisbi.csv,0.39,0.39,0.38,0.71,0.34,0.35,0.37,0.32,0.39,0.4,0.38,0.32,0.36,0.43,0.43,0.36,0.51,0.41,0.31,0.34
lsb.csv,0.41,0.46,0.38,0.59,0.33,0.35,0.37,0.33,0.41,0.37,0.38,0.29,0.34,0.44,0.39,0.38,0.55,0.44,0.33,0.37
oscarmcmaster.csv,0.94,0.0,0.8,0.0,0.0,0.8,0.91,0.89,0.0,0.67,0.83,0.67,0.0,0.93,0.7,0.75,0.86,0.88,0.92,0.97
plearn.csv,0.73,0.75,0.84,0.62,0.42,0.72,0.86,0.9,0.69,0.87,0.81,0.58,0.88,0.71,0.59,0.75,0.7,0.68,0.92,0.66
psrchive.csv,0.94,0.8,0.93,0.86,0.94,0.75,0.84,0.89,0.67,0.5,0.75,0.86,0.0,0.8,0.0,0.75,0.67,0.93,0.75,0.96
re2c.csv,0.65,0.83,0.54,0.72,0.56,0.69,0.93,0.95,0.54,0.44,0.62,0.65,0.9,0.57,0.71,0.94,0.68,0.93,0.94,0.81
rebecca-aiml.csv,0.78,0.88,0.63,0.6,0.38,0.62,0.88,0.59,0.92,0.6,0.68,0.48,0.77,0.47,0.88,0.68,0.66,0.65,0.72,0.59
rtrt-on-gpu.csv,0.67,0.47,0.61,0.67,0.45,0.56,0.61,0.95,0.9,0.62,0.6,0.69,0.95,0.69,0.73,0.71,0.69,0.75,0.73,0.77
stemkit.csv,0.86,0.93,0.0,0.73,0.94,0.93,0.96,0.5,0.8,0.83,0.92,0.94,0.94,0.75,0.8,0.0,0.75,0.95,0.5,0.92
tcvp.csv,0.61,0.43,0.65,0.71,0.4,0.59,0.67,0.93,0.75,0.46,0.58,0.63,0.88,0.7,0.92,0.62,0.72,0.82,0.62,0.62
tktoolkit.csv,0.79,0.56,0.46,0.69,0.42,0.63,0.95,0.67,0.68,0.47,0.6,0.54,0.93,0.88,0.93,0.64,0.81,0.71,0.66,0.69
tycho.csv,0.64,0.58,0.51,0.0,0.94,0.48,0.86,0.48,0.52,0.53,0.51,0.4,0.5,0.59,0.56,0.49,0.71,0.65,0.5,0.55
xstore.csv,0.46,0.48,0.41,0.62,0.35,0.38,0.41,0.36,0.57,0.4,0.45,0.35,0.46,0.51,0.48,0.38,0.51,0.41,0.39,0.38
