,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.43,0.56,0.47,0.4,0.55,0.38,0.3,0.69,0.37,0.53,0.6,0.5,0.2,1.0,0.55,0.36,0.27
arm-webradio.csv,0.49,0.55,0.56,0.27,0.61,0.68,0.41,0.59,0.56,0.24,0.73,0.58,0.62,0.5,0.66,0.62,1.0
codepurge.csv,0.28,0.38,0.2,0.23,0.33,0.5,0.2,0.14,0.1,0.16,0.73,0.59,1.0,0.36,0.43,0.42,0.48
fw4spl.csv,0.42,0.98,0.41,0.27,0.34,0.46,0.19,0.53,0.44,0.37,0.44,0.23,0.45,0.6,0.52,0.47,0.47
glas.csv,0.52,0.52,0.71,0.54,0.35,0.48,0.54,0.41,0.93,0.59,0.33,0.55,0.6,0.68,0.57,0.52,0.57
grisbi.csv,0.45,0.61,0.61,0.77,0.66,0.67,0.98,0.36,0.52,0.65,0.64,0.63,0.69,0.5,0.64,0.67,0.55
gwanted.csv,0.23,0.02,0.0,0.07,0.82,0.0,0.1,0.0,0.0,0.71,0.34,0.5,0.0,0.0,0.52,0.12,0.54
lcfizvtop.csv,0.65,0.52,0.43,0.21,0.17,0.99,0.47,0.18,0.13,0.28,0.58,0.46,0.49,0.39,0.48,0.55,0.36
ldview.csv,0.96,0.25,0.32,0.17,0.29,0.21,0.27,0.64,0.33,0.26,0.74,0.46,0.38,0.33,0.25,0.32,0.33
libmesh.csv,0.59,0.07,0.13,0.35,0.4,0.11,0.48,0.8,0.17,0.35,0.66,0.23,0.41,0.48,0.43,0.26,0.13
mediaportal.csv,0.0,0.05,0.2,0.17,0.44,0.11,0.02,0.1,0.04,0.48,0.17,0.85,0.0,0.0,0.13,0.02,0.0
olex2.csv,0.17,0.45,0.68,0.49,0.56,0.49,0.7,0.18,0.42,0.34,0.33,0.63,0.15,0.46,0.26,0.94,0.44
oppna-program-hsatools.csv,0.42,0.53,0.21,0.98,0.56,0.46,0.84,0.39,0.39,0.0,0.63,0.34,0.67,0.41,0.48,0.6,0.27
qlc.csv,0.06,0.14,0.95,0.07,0.09,0.11,0.07,0.1,0.19,0.09,0.48,0.2,0.1,0.24,0.19,0.2,0.0
somap.csv,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.27,0.0,0.0
wxcode.csv,0.28,0.02,0.13,0.09,0.25,0.0,0.04,0.0,0.0,0.0,1.0,0.28,0.0,0.18,0.07,0.15,0.0
xcf.csv,0.64,0.55,0.52,0.42,0.48,0.65,0.62,0.18,0.58,0.27,0.72,0.7,0.48,0.48,0.98,0.67,0.73
