,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.38,0.54,0.44,0.46,0.61,0.36,0.33,0.69,0.35,0.54,0.57,0.48,0.17,1.0,0.62,0.32,0.23
arm-webradio.csv,0.52,0.54,0.56,0.25,0.61,0.73,0.41,0.58,0.81,0.22,0.86,0.56,0.79,0.46,0.66,0.8,1.0
codepurge.csv,0.24,0.33,0.17,0.19,0.29,0.45,0.17,0.12,0.08,0.14,0.71,0.57,1.0,0.32,0.38,0.38,0.43
fw4spl.csv,0.71,0.98,0.39,0.28,0.32,0.55,0.32,0.54,0.46,0.53,0.43,0.2,0.62,0.66,0.53,0.52,0.6
glas.csv,0.52,0.52,0.83,0.52,0.32,0.45,0.52,0.46,0.92,0.54,0.29,0.54,0.58,0.66,0.56,0.53,0.54
grisbi.csv,0.43,0.69,0.67,0.79,0.79,0.82,0.97,0.42,0.51,0.65,0.71,0.84,0.83,0.49,0.66,0.82,0.83
gwanted.csv,0.19,0.02,0.0,0.06,0.79,0.0,0.08,0.0,0.0,0.69,0.29,0.48,0.0,0.0,0.53,0.1,0.49
lcfizvtop.csv,0.76,0.48,0.39,0.18,0.14,1.0,0.42,0.15,0.11,0.24,0.57,0.42,0.46,0.34,0.44,0.6,0.31
ldview.csv,0.95,0.21,0.28,0.14,0.25,0.18,0.23,0.62,0.3,0.22,0.71,0.42,0.33,0.29,0.22,0.28,0.31
libmesh.csv,0.62,0.06,0.11,0.62,0.39,0.09,0.44,0.77,0.14,0.33,0.71,0.2,0.38,0.46,0.5,0.22,0.11
mediaportal.csv,0.0,0.04,0.17,0.83,0.86,0.09,0.02,0.08,0.03,0.89,0.14,0.82,0.0,0.0,0.97,0.02,0.0
olex2.csv,0.14,0.42,0.72,0.44,0.54,0.45,0.7,0.15,0.38,0.32,0.29,0.65,0.12,0.41,0.22,0.93,0.4
oppna-program-hsatools.csv,0.38,0.83,0.94,0.98,0.96,0.55,0.91,0.58,0.35,0.97,0.86,0.89,0.67,0.78,0.59,0.58,0.31
qlc.csv,0.05,0.12,0.94,0.06,0.07,0.09,0.06,0.08,0.16,0.07,0.43,0.17,0.08,0.2,0.16,0.17,0.0
somap.csv,1.0,1.0,1.0,0.99,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0
wxcode.csv,0.24,0.02,0.11,0.07,0.21,0.0,0.03,0.0,0.0,0.0,1.0,0.24,0.0,0.15,0.06,0.12,0.0
xcf.csv,0.67,0.52,0.5,0.46,0.46,0.64,0.7,0.15,0.59,0.26,0.86,0.8,0.46,0.44,0.97,0.77,0.71
