,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.38,0.41,0.8,0.4,0.8,0.43,0.38,0.51,0.58,0.55,0.53,0.5,0.37,0.43,0.43,0.47
customsagetv.csv,0.93,0.95,0.0,0.5,0.79,0.49,0.55,0.5,0.73,0.66,0.65,0.83,0.67,0.71,0.82,0.46
fluidium.csv,0.67,0.67,0.0,0.93,0.0,0.95,0.0,0.5,0.5,0.0,0.0,0.0,0.67,0.5,0.0,0.92
guineu.csv,0.57,0.48,0.94,0.54,0.75,0.57,0.58,0.49,0.93,0.75,0.8,0.54,0.49,0.46,0.59,0.48
inkscape.csv,0.43,0.39,0.49,0.4,0.95,0.95,0.45,0.53,0.59,0.51,0.94,0.42,0.41,0.46,0.33,0.33
mpqc.csv,0.95,0.98,0.0,0.0,0.97,0.98,0.94,0.95,0.96,0.99,0.97,0.73,0.95,0.8,0.93,0.88
nsis.csv,0.4,0.5,0.53,0.87,0.44,0.63,0.41,0.7,0.63,0.57,0.56,0.38,0.47,0.78,0.43,0.45
octave.csv,0.49,0.62,0.69,0.56,0.54,0.92,0.92,0.44,0.81,0.68,0.68,0.48,0.67,0.6,0.61,0.43
owfs.csv,0.31,0.41,0.5,0.45,0.43,0.48,0.37,0.42,0.49,0.42,0.48,0.37,0.4,0.44,0.32,0.32
owlib.csv,0.32,0.37,0.36,0.3,0.38,0.38,0.36,0.29,0.32,0.37,0.36,0.36,0.34,0.36,0.32,0.29
pamguard.csv,0.77,0.68,0.44,0.46,0.62,0.68,0.43,0.42,0.43,0.65,0.88,0.55,0.52,0.83,0.45,0.56
prelude.csv,0.3,0.39,0.46,0.4,0.36,0.42,0.36,0.43,0.51,0.45,0.46,0.37,0.37,0.39,0.33,0.34
robocode.csv,0.42,0.43,0.5,0.47,0.45,0.41,0.33,0.48,0.63,0.48,0.4,0.5,0.43,0.36,0.54,0.47
uwom-server.csv,0.94,0.8,0.0,0.67,0.47,0.51,0.46,0.62,0.5,0.51,0.47,0.36,0.95,0.36,0.51,0.5
zengine.csv,0.31,0.4,0.47,0.39,0.39,0.44,0.36,0.43,0.55,0.43,0.47,0.41,0.37,0.48,0.33,0.31
zildo.csv,0.45,0.37,0.5,0.39,0.65,0.65,0.47,0.73,0.42,0.49,0.5,0.65,0.42,0.57,0.33,0.43
