,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.39,0.37,0.75,0.37,0.46,0.56,0.62,0.38,0.36,0.33
arsenal-1.csv,0.37,0.83,0.45,0.5,0.88,0.86,0.8,0.5,0.75,0.5
barracudamvc.csv,0.42,0.33,0.37,0.33,0.39,0.37,0.33,0.35,0.4,0.41
irplus.csv,0.3,0.27,0.7,0.37,0.39,0.39,0.44,0.34,0.29,0.33
lite.csv,0.92,0.85,0.46,0.75,0.89,0.62,0.83,0.46,0.8,0.8
mumble.csv,0.4,0.29,0.46,0.86,0.48,0.38,0.42,0.62,0.55,0.36
ontopia.csv,0.91,0.3,0.53,0.59,0.41,0.43,0.81,0.41,0.44,0.37
openintents.csv,0.59,0.42,0.38,0.29,0.56,0.58,0.33,0.34,0.54,0.54
ta3d.csv,0.62,0.8,0.42,0.0,0.94,0.58,0.82,0.83,0.67,0.52
tweetsharp.csv,0.82,0.58,0.43,0.36,0.47,0.7,0.57,0.37,0.5,0.55
