,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.67,0.76,0.89,0.43,0.43,0.86,0.75,0.41,0.74,0.68
arsenal-1.csv,0.99,0.86,0.44,0.96,0.88,0.97,0.92,0.87,0.93,0.94
barracudamvc.csv,0.34,0.8,1.0,1.0,1.0,0.79,1.0,0.93,0.93,1.0
irplus.csv,0.77,0.69,0.79,0.45,0.45,0.83,0.48,0.46,0.75,0.61
lite.csv,0.88,0.92,0.53,0.91,0.93,0.77,0.82,0.35,0.88,0.89
mumble.csv,0.64,0.91,0.94,0.92,0.24,0.6,0.83,0.77,0.83,0.65
ontopia.csv,0.87,0.84,0.71,0.72,0.56,0.36,0.84,0.75,0.69,0.82
openintents.csv,0.73,0.48,0.97,0.68,0.98,0.8,0.89,0.6,1.0,0.92
ta3d.csv,0.79,0.87,0.83,0.95,0.9,0.81,0.73,0.94,0.93,0.59
tweetsharp.csv,0.69,0.6,0.81,0.86,0.54,0.52,0.78,0.92,0.36,0.71
