,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.75,0.8,0.69,0.64,0.76,0.63,0.88,0.91,0.51,0.96
chaosrts.csv,0.34,0.33,0.46,0.47,0.38,0.38,0.35,0.37,0.38,0.4
lazarus-ccr.csv,0.33,0.57,0.48,0.5,0.39,0.42,0.42,0.37,0.45,0.42
linuxsh.csv,0.61,0.79,0.9,0.99,0.7,0.88,0.75,0.8,0.9,0.67
migen.csv,0.73,0.41,0.5,0.98,0.82,0.56,0.9,0.92,0.53,0.48
moviesandbox.csv,0.37,0.83,0.61,0.66,0.5,0.48,0.89,0.75,0.58,0.47
sauerbraten.csv,0.38,0.9,0.64,0.97,0.41,0.69,0.93,0.88,0.77,0.95
scite-ru.csv,0.37,0.52,0.62,0.52,0.42,0.54,0.7,0.45,0.61,0.41
vrjuggler.csv,0.59,0.48,0.9,0.77,0.85,0.53,0.93,0.94,0.97,0.44
xuggle.csv,0.89,0.8,0.47,0.98,0.41,0.78,0.76,0.73,0.5,0.6
