,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.2,0.05,0.46,0.51,0.38,0.32,0.28,0.07,0.98,0.17
chaosrts.csv,0.4,0.5,0.46,0.67,0.61,0.67,0.41,0.51,0.67,0.98
lazarus-ccr.csv,0.17,0.97,0.32,0.17,0.0,0.52,0.5,0.13,0.0,0.54
linuxsh.csv,0.48,0.33,0.93,0.34,0.44,0.3,0.06,0.15,0.22,0.4
migen.csv,0.41,0.44,0.54,0.35,0.27,0.95,0.12,0.07,0.45,0.43
moviesandbox.csv,0.69,0.25,0.54,0.74,0.96,0.54,0.23,0.07,0.46,0.55
sauerbraten.csv,0.96,0.29,0.58,0.35,0.58,0.43,0.22,0.0,0.31,0.16
scite-ru.csv,0.46,0.54,0.65,0.69,0.57,0.58,0.91,0.47,0.45,0.37
vrjuggler.csv,0.38,0.42,0.21,0.51,0.27,0.6,0.22,0.95,0.22,0.2
xuggle.csv,0.16,0.32,0.5,0.93,0.55,0.39,0.28,0.14,0.54,0.54
