,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.54,0.14,0.49,0.43,0.29,0.4,0.23,0.17,0.04,0.32
chaosrts.csv,0.88,0.82,0.73,0.67,0.74,0.63,0.87,0.81,0.6,0.0
lazarus-ccr.csv,0.96,0.0,0.91,0.96,1.0,0.65,0.81,0.97,1.0,0.79
linuxsh.csv,0.25,0.25,0.0,0.15,0.17,0.16,0.06,0.05,0.22,0.16
migen.csv,0.04,0.43,0.73,0.11,0.2,0.0,0.15,0.19,0.67,0.42
moviesandbox.csv,0.42,0.25,0.49,0.28,0.0,0.23,0.1,0.05,0.42,0.26
sauerbraten.csv,0.0,0.14,0.29,0.07,0.23,0.07,0.21,0.14,0.4,0.05
scite-ru.csv,0.83,0.64,0.31,0.64,0.74,0.63,0.02,0.81,0.51,0.89
vrjuggler.csv,0.17,0.75,0.15,0.51,0.09,0.63,0.19,0.02,0.29,0.95
xuggle.csv,0.17,0.46,0.82,0.0,0.43,0.56,0.23,0.22,0.75,0.63
