,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.69,0.51,0.2,0.6,0.45,0.55,0.43,0.36,0.49,0.05,0.47,0.57,0.54,0.55
biopax.csv,0.73,0.43,0.19,0.59,0.36,0.65,0.35,0.2,0.46,0.05,0.52,0.56,0.59,0.88
gnupdate.csv,0.66,0.52,0.16,0.58,0.32,0.62,0.61,0.12,0.47,0.09,0.55,0.52,0.61,0.71
les-indemodables.csv,0.73,0.47,0.15,0.42,0.5,0.24,0.29,0.23,0.41,0.05,0.51,0.68,0.26,0.62
openxava.csv,0.62,0.27,0.31,0.48,0.25,0.4,0.24,0.17,0.34,0.11,0.65,0.55,0.32,0.17
ppcboot.csv,0.69,0.48,0.2,0.59,0.34,0.65,0.32,0.21,0.53,0.05,0.59,0.53,0.59,0.89
repositorium.csv,0.0,0.04,0.15,0.13,0.02,0.08,0.0,0.46,0.06,0.06,0.44,0.16,0.5,0.57
rsyslog.csv,0.76,0.42,0.15,0.56,0.42,0.5,0.36,0.24,0.4,0.05,0.51,0.29,0.59,0.26
simplewebservices.csv,0.68,0.37,0.28,0.59,0.3,0.69,0.32,0.17,0.45,0.05,0.7,0.52,0.63,0.45
ultimairis.csv,0.73,0.45,0.28,0.61,0.44,0.67,0.35,0.35,0.58,0.0,0.36,0.0,0.57,0.55
vars-redux.csv,0.7,0.37,0.31,0.7,0.49,0.66,0.25,0.24,0.39,0.05,0.6,0.6,0.5,0.51
wow-qrsk.csv,0.14,0.42,0.24,0.65,0.58,0.43,0.44,0.0,0.04,0.06,0.05,0.56,0.32,0.47
wxstudio.csv,0.67,0.24,0.26,0.54,0.16,0.64,0.37,0.22,0.36,0.0,0.63,0.23,0.07,0.35
xqilla.csv,0.07,0.12,0.22,0.35,0.19,0.18,0.09,0.11,0.19,0.46,0.4,0.05,0.23,0.22
