,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.13,0.0,0.14,0.24,0.16,0.02,0.0,0.19,0.0,0.17,0.07
gbif-providertoolkit.csv,0.23,0.27,0.13,0.15,0.0,0.2,0.26,0.05,0.5,0.15,0.11
geochat.csv,0.19,0.44,0.25,0.69,0.82,0.8,0.26,0.51,0.3,0.25,0.0
heekscad.csv,0.0,0.38,0.39,0.44,0.63,0.6,0.65,0.65,0.2,0.6,0.57
igarden.csv,0.02,0.02,0.03,0.0,0.03,0.23,0.04,0.07,0.0,0.14,0.08
jstock.csv,0.15,0.31,0.17,0.26,0.04,0.01,0.0,0.0,0.2,0.22,0.17
levent.csv,0.32,0.31,0.49,0.38,0.6,0.65,0.0,0.47,0.6,0.54,0.35
piccolo2d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
pnotepad.csv,0.77,0.63,0.77,0.99,0.91,0.95,0.57,0.79,0.0,0.57,0.82
trinitycore.csv,0.02,0.27,0.08,0.21,0.34,0.44,0.0,0.44,0.3,0.0,0.48
xcsoar.csv,0.28,0.19,0.03,0.4,0.46,0.4,0.17,0.21,0.2,0.35,0.24
