,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,1.0,0.0,1.0,8.0,8.0,0.0,0.0,7.0,0.0,2.0,0.0
gbif-providertoolkit.csv,2.0,59.0,0.0,6.0,0.0,16.0,0.0,55.0,2.0,19.0,9.0
geochat.csv,0.0,18.0,1.0,2.0,3.0,31.0,0.0,0.0,0.0,2.0,0.0
heekscad.csv,0.0,5.0,4.0,0.0,25.0,13.0,1.0,2.0,1.0,3.0,7.0
igarden.csv,0.0,59.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,6.0,0.0
jstock.csv,0.0,14.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,3.0,7.0
levent.csv,0.0,11.0,7.0,2.0,0.0,23.0,0.0,0.0,2.0,7.0,1.0
piccolo2d.csv,123.0,59.0,126.0,102.0,80.0,0.0,0.0,55.0,57.0,223.0,127.0
pnotepad.csv,4.0,18.0,0.0,4.0,2.0,32.0,1.0,3.0,0.0,7.0,13.0
trinitycore.csv,0.0,12.0,1.0,4.0,2.0,24.0,71.0,5.0,0.0,0.0,10.0
xcsoar.csv,1.0,9.0,0.0,3.0,20.0,5.0,0.0,7.0,0.0,8.0,3.0
