,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.39,1.0,0.45,0.23,0.14,0.15,0.06,0.15,0.19,0.38,0.1
gbif-providertoolkit.csv,0.19,0.0,0.12,0.1,0.93,0.15,0.33,0.0,0.15,0.04,0.03
geochat.csv,0.36,0.38,0.25,0.81,0.79,0.69,0.43,0.46,0.52,0.29,0.9
heekscad.csv,0.99,0.75,0.75,0.74,0.71,0.77,0.78,0.92,0.69,0.84,0.7
igarden.csv,0.26,0.0,0.25,0.94,0.14,0.62,0.16,0.15,0.08,0.27,0.23
jstock.csv,0.34,0.25,0.38,0.39,0.07,0.15,0.14,1.0,0.31,0.53,0.17
levent.csv,0.64,0.38,0.66,0.71,0.79,0.69,1.0,0.54,0.5,0.73,0.5
piccolo2d.csv,0.0,0.0,0.0,0.0,0.0,0.85,0.06,0.0,0.0,0.0,0.0
pnotepad.csv,0.97,0.88,0.95,1.0,0.93,1.0,0.69,0.85,0.98,0.76,0.83
trinitycore.csv,0.13,0.38,0.2,0.26,0.36,0.31,0.0,0.46,0.21,0.95,0.43
xcsoar.csv,0.66,0.12,0.91,0.45,0.64,0.92,0.47,0.31,0.35,0.51,0.3
