,selenium.csv,jnode.csv,mcmc-jags.csv,freebios.csv,miranda-icq.csv,quarkplusplus.csv,metacosm.csv
freebios.csv,0.57,0.25,0.2,0.82,0.42,0.75,0.22
jnode.csv,0.03,0.75,0.0,0.12,0.08,0.04,0.07
mcmc-jags.csv,0.93,0.94,0.93,0.61,0.83,1.0,0.81
metacosm.csv,0.65,0.94,0.6,0.14,0.23,0.29,0.74
miranda-icq.csv,0.32,0.62,0.93,0.41,0.63,0.46,0.48
quarkplusplus.csv,0.55,0.38,0.6,0.02,0.08,0.5,0.85
selenium.csv,0.63,0.5,0.47,0.31,0.48,0.38,0.78
