,guineu.csv,pokeglobal.csv,graphmak.csv,pdfedit.csv,jhotdraw.csv,red5.csv,cascading.csv,twostep.csv,ofbiz.csv
cascading.csv,0.47,0.38,0.39,0.37,0.4,0.4,0.41,0.71,0.47
graphmak.csv,0.34,0.43,0.42,0.39,0.53,0.55,0.55,0.46,0.46
guineu.csv,0.47,0.58,0.8,0.65,0.44,0.36,0.81,0.62,0.46
jhotdraw.csv,0.75,0.44,0.77,0.82,0.86,0.64,0.52,0.96,0.7
ofbiz.csv,0.46,0.45,0.49,0.49,0.48,0.47,0.53,0.49,0.46
pdfedit.csv,0.42,0.71,0.56,0.48,0.51,0.41,0.45,0.59,0.61
pokeglobal.csv,0.39,0.41,0.4,0.35,0.37,0.32,0.44,0.44,0.51
red5.csv,0.32,0.45,0.36,0.38,0.35,0.46,0.43,0.42,0.36
twostep.csv,0.29,0.36,0.34,0.4,0.37,0.37,0.39,0.39,0.39
