,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv,>=0.7,>=0.6
adaptagrams.csv,0.02,0,0.21,0,0,0,0,0,0,0,0.39,0.19,0.03,0,0.84,0.16,0.51,0.1,0,0.33,0.02,0,0,0,0,0.63,0.88,0,0,0,0,0.77,0,0,0.98,0,0,0,0,0.26,0.24,0,0,0.56,0,0.26,0.79,0,0.37,0,0.42,0.44,0,0.79,0.59,0.28,0,0,0,,0,0,0.79,0.29,0,0.29,0,0.33,0,0,0.37,0.07,0,0.32,0.7,0.07,0,0.21,0.9,0.31,9,10
agilitybook.csv,0.02,0.06,0.2,0.29,0,0,0,0.24,0.22,0.22,0.31,0.69,0.61,0,0.86,0.16,0.5,0.78,0.34,0.57,0.66,0,0,0,0.08,0.67,0.87,0.56,0.09,0,0.18,0.75,0,0.24,0.99,0.02,0,0.64,0.58,0.31,0.28,,0.7,0.54,0.63,0.31,0.82,0.77,0.37,0.77,0.52,0.45,0.71,0.78,0.83,0.3,0,0.54,0.24,0.68,0.59,0.19,0.95,0.19,0,0.58,0.62,0.77,0,0,0.79,0.52,0,0.35,0.98,0.68,0,0.47,0.91,0.48,17,26
amanda.csv,0.02,0.05,0.2,0.54,0,0.42,0.65,0.21,0.42,0.45,0.31,0.72,0.6,0.37,0.88,0.13,0.49,0.93,0.79,0.56,0.65,0,0.45,0,0.23,0.68,0.88,0.6,0.07,0.12,0.19,0.77,0.5,0.45,0.99,0.02,0.48,0.7,0.58,0.32,0.29,0.31,0.75,0.54,0.9,0.3,0.82,0.79,0.37,0.75,0.52,0.45,0.72,0.78,0.84,0.3,0,0.54,0.32,0.68,0.64,0.16,,0.19,0.6,0.57,0.57,0.77,0,,0.81,0.56,0.15,0.38,0.98,0.7,0,0.49,0.91,0.47,21,29
atunes.csv,0.02,0.09,0.24,0,0,0,0,0.29,0,0,0.31,0.65,0.58,0,0.88,0.13,0.52,0.76,0,0.54,0.71,0,0,0,0,0.68,0.88,0,,0,0.19,0.77,0,0,0.99,0.02,0,0.58,0.57,0.34,0.28,0,0.63,0.54,0,0.3,0.82,0.65,0.37,0.1,0.52,0.45,0.78,0.78,0.82,0.3,0,0.61,0,0.68,0.29,0,0.95,0.19,0,0.49,0.26,0.77,0,0,0.68,0.37,0,0.38,0.97,0.71,0,0.47,0.91,0.46,15,22
avifile.csv,0,0,0,0.17,0.57,0.6,0.54,0,0,0.45,0,0.06,0,0.22,0,0,0,0.02,0.36,0,0,0.9,0.43,0.58,0.09,0,0,0.05,0,,0,0,0.5,0.21,0,0,0.53,0,0.02,0,0,0.2,0.11,0,0.12,0,0,0,0,0,0,0,0.04,0,0,0,0.19,0,0.07,0,0,0,0,0,0.63,0,0.16,0,0.02,0.6,0,0,0.27,0,0,0,0.21,0,0,0,1,4
awemud.csv,0.03,0.05,0.26,0.57,0.57,0.62,0.62,0.21,0.41,0.47,0.08,0.69,0.65,0.22,0.09,0.1,0.55,0.98,0.86,0.55,0.66,0.9,0.43,0.58,0.14,0.45,0,0.55,0.07,0.13,0.21,0.58,0.53,0.45,0.47,0.03,0.53,0.63,0.56,0.33,0,0.24,0.75,0.18,0.99,0.13,0.68,0.74,0.42,0.76,0.5,0.4,0.71,0.06,,0.22,0.19,0.53,0.3,0.76,0.63,0.16,0.03,0.08,0.63,0.56,0.57,0,0.02,0.63,0.8,0.55,0.27,0.29,0.94,0.68,0.21,0.43,0.61,0.35,11,23
baadengine.csv,0.02,0.05,0.23,0.56,0,0.61,0.64,0.21,0.42,0.62,0.31,0.68,0.65,0,0.88,0.13,0.49,0.98,,0.57,0.66,0,0.05,0,0.2,0.68,0.88,0.55,0.08,0.13,0.18,0.77,0.54,0.46,0.99,0.02,0.24,0.64,0.56,0.31,0.28,0.28,0.76,0.54,0.97,0.3,0.82,0.75,0.37,0.76,0.52,0.45,0.73,0.78,0.84,0.3,0,0.53,0.3,0.68,0.65,0.16,,0.19,0.41,0.57,0.56,0.77,0,0.63,0.81,0.53,0,0.37,0.98,0.68,0,0.46,0.91,0.46,17,29
barracudamvc.csv,0.07,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0.3,0.88,0,0,0,0,0.11,0,0,0.99,0,0,0,0,0,0.28,0,0,0.54,0,0,0.82,0,0.37,0,0,0.4,0,0.78,0,0.3,0,0,0,0,0,0,0.99,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,,0,6,6
benojt.csv,0.02,0.05,0.23,0.57,0.58,0.61,0.62,0.21,0.43,0.47,0.31,0.69,0.65,0.24,0.88,0.13,0.49,0.98,0.86,0.57,0.66,0.88,0.43,0,0.14,0.67,0.88,0.55,0.08,0.13,0.18,0.77,0.53,0.45,0.96,0.02,0.53,0.63,0.56,0.31,0.28,0.24,0.76,0.54,0.99,0.3,0.81,0.74,0.37,0.76,0.53,0.46,0.72,0.78,0.84,0.3,0.19,0.53,0.3,0.68,0.63,0.16,,0.19,0.63,0.56,0.58,0.77,0.02,0.63,0.81,0.54,0.27,0.38,,0.68,0,0.44,0.91,0.47,18,30
crisscross.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.48,0,0,0.15,0,0.37,0,0,0,0,0.37,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
