,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv
adaptagrams.csv,0.75,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,0.89,0.99,1.0,1.0,0.79,0.93,0.95,1.0,0.77,0.99,1.0,1.0,1.0,1.0,0.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.93,1.0,0.78,1.0,1.0,1.0,1.0,0.89,0.84,1.0,0.92,0.59,0.86,1.0,1.0,1.0,,1.0,1.0,0.35,0.47,1.0,0.8,1.0,0.79,1.0,1.0,0.96,0.96,1.0,0.73,0.8,0.97,1.0,0.87,1.0,0.75
agilitybook.csv,1.0,0.83,0.91,0.82,1.0,1.0,1.0,0.86,0.95,0.87,1.0,0.98,0.61,1.0,1.0,0.66,0.98,0.61,0.8,1.0,1.0,1.0,1.0,1.0,0.95,0.98,1.0,0.54,0.83,1.05,0.99,1.0,1.0,0.85,1.0,1.0,1.0,0.81,0.85,0.96,1.0,,0.7,1.0,0.54,0.92,1.0,0.83,1.0,0.83,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.86,0.82,1.0,0.66,0.88,0.1,1.0,1.0,0.93,0.48,1.0,1.0,1.0,0.96,0.99,1.0,1.0,1.0,0.89,1.0,0.96,0.95,0.98
amanda.csv,0.95,0.97,0.98,0.95,1.0,0.7,0.58,0.94,0.82,0.78,1.0,0.85,0.82,0.61,0.92,1.0,1.0,0.52,0.47,0.94,0.95,1.0,0.65,1.0,0.48,0.97,1.0,0.57,1.0,0.87,0.8,1.0,0.57,0.79,1.0,0.94,0.6,0.74,0.91,0.99,0.98,0.62,0.77,1.0,1.01,1.0,1.0,0.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.67,1.0,0.81,1.0,,1.0,0.57,0.99,0.61,1.0,1.0,,0.96,0.85,0.9,0.99,1.0,0.89,1.0,0.8,1.0,0.97
atunes.csv,1.0,0.58,0.91,1.0,1.0,1.0,1.0,0.51,1.0,1.0,1.0,0.66,0.55,1.0,1.0,1.0,0.9,0.39,1.0,0.79,0.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.86,1.0,1.0,1.0,1.0,0.99,1.0,0.55,0.52,0.71,1.0,1.0,0.52,1.0,1.0,1.0,1.0,0.5,1.0,0.95,1.0,1.0,0.34,1.0,0.97,1.0,1.0,0.63,1.0,1.0,0.82,1.0,0.1,1.0,1.0,0.67,0.85,1.0,1.0,1.0,1.03,0.77,1.0,0.93,1.0,0.61,1.0,0.85,1.0,1.0
avifile.csv,1.0,1.0,1.0,0.9,1.0,1.0,0.85,1.0,1.01,0.98,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.99,0.97,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,0.98,1.02,,1.0,1.0,0.96,0.85,1.0,1.0,1.0,1.01,0.99,1.0,1.0,0.96,0.94,1.0,1.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
awemud.csv,0.6,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.95,1.0,1.0,0.96,0.89,0.49,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.7,0.97,1.0,1.0,0.7,0.76,1.0,1.0,0.99,0.94,1.0,1.0,1.0,0.89,1.0,0.88,0.58,1.0,0.69,1.0,0.79,0.74,1.0,0.97,,0.82,1.0,1.0,1.0,0.55,1.0,1.0,0.99,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.97,1.0,1.0,1.0,1.0,0.72,0.73
baadengine.csv,1.0,1.0,1.0,0.99,1.0,0.52,0.86,0.98,0.89,0.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.97,1.0,0.62,1.0,1.0,0.96,0.92,1.0,1.0,1.0,0.61,0.94,1.0,1.0,0.85,0.91,0.99,1.0,1.0,0.58,0.91,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,,1.0,0.71,0.99,0.88,1.0,1.0,0.48,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
barracudamvc.csv,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
benojt.csv,1.0,1.0,1.0,1.0,0.92,0.93,1.0,0.99,0.93,1.0,1.0,0.98,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.99,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.86,1.0,1.0,0.98,0.95,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.97,0.93,1.0,1.0,1.0,1.0,0.96,1.0,0.98,,1.0,1.0,1.0,1.0,1.0
crisscross.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0.77,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
