,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.84,0.02,0.06,0.04,0.0,0.13,0.0,0.0,0.14,0.03
fityk.csv,0.4,0.82,0.75,0.08,0.5,0.48,0.78,0.41,0.38,0.49
freenet.csv,0.66,0.44,0.38,0.79,0.97,0.7,0.59,0.82,0.61,0.63
geogebra.csv,0.48,0.07,0.65,0.25,0.6,0.35,0.14,0.41,0.33,0.24
hibernate.csv,0.05,0.78,0.19,0.42,0.07,0.39,0.29,0.41,0.27,0.29
itext.csv,0.47,0.99,0.84,0.38,0.2,0.98,0.98,0.5,0.83,0.85
k3b.csv,0.63,0.94,0.77,0.25,0.6,0.52,0.39,0.82,0.6,0.77
lamp.csv,0.21,0.16,0.54,0.75,0.47,0.65,0.35,0.45,0.4,0.84
megameknet.csv,0.33,0.61,0.58,0.71,0.87,0.64,0.28,0.73,0.58,0.8
thout.csv,0.78,0.21,0.86,0.79,1.0,0.57,0.93,0.91,0.83,0.91
