,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.39,0.44,0.43,0.49,0.65,0.55,0.44
encog-java.csv,0.6,0.96,0.0,0.97,0.77,0.5,0.86
galaxium.csv,0.44,0.49,0.52,0.38,0.43,0.33,0.49
h2database.csv,0.61,0.6,0.88,0.43,0.96,0.62,0.91
haphazard.csv,0.54,0.69,0.37,0.62,0.61,0.57,0.36
jaql.csv,0.37,0.39,0.56,0.44,0.54,0.36,0.44
raven-monitoring.csv,0.47,0.47,0.53,0.55,0.71,0.42,0.39
