,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.86,0.7,0.56,0.56,0.43,0.63,0.68
encog-java.csv,0.39,0.95,1.0,0.76,0.79,0.85,0.89
galaxium.csv,0.75,0.5,0.64,0.84,0.57,0.84,0.31
h2database.csv,0.5,0.37,0.89,0.46,0.76,0.77,0.74
haphazard.csv,0.74,0.69,0.68,0.6,0.82,0.48,0.98
jaql.csv,0.62,0.54,0.67,0.43,0.69,0.68,0.35
raven-monitoring.csv,0.69,0.82,0.41,0.64,0.82,0.59,0.9
