,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.76,1.0,0.79,0.73,0.34,0.64,0.73,1.0,0.84,0.64,0.67,0.9,0.69,0.17
bibedt.csv,0.82,0.4,0.79,0.56,0.72,0.95,0.65,0.47,0.55,0.54,0.97,0.87,0.63,0.95
brlcad.csv,0.49,0.7,0.56,0.94,0.73,0.75,0.59,0.51,0.84,0.55,0.76,0.88,0.53,0.64
co-ode-owl-plugins.csv,0.78,0.48,0.57,0.77,0.29,0.99,0.69,0.8,0.67,0.65,0.91,0.86,0.54,0.17
firebreath.csv,0.79,0.67,0.5,0.47,0.83,0.84,0.65,0.73,0.63,0.56,0.95,0.64,0.63,0.96
fltk.csv,0.68,0.39,0.58,0.42,0.59,1.04,0.67,0.7,0.42,0.47,0.66,0.49,0.49,0.66
glas.csv,0.76,0.5,0.6,0.65,0.66,0.62,0.7,0.61,0.65,0.84,0.49,0.74,0.79,0.71
gretl.csv,0.75,0.62,0.78,0.67,0.56,0.73,0.48,0.61,0.72,0.93,0.69,0.79,0.95,0.42
konversation.csv,0.72,0.31,0.53,0.63,0.57,0.7,0.55,0.56,0.69,0.58,0.97,0.78,0.74,0.75
micomt.csv,0.69,0.46,0.51,0.71,0.79,0.81,0.86,0.37,0.9,0.33,0.69,0.53,0.45,0.55
openxava.csv,0.66,0.37,0.7,0.71,0.78,0.4,0.6,0.63,0.76,0.91,0.95,0.52,0.8,0.55
sumatrapdf.csv,0.72,0.69,0.9,0.84,0.94,0.97,0.48,0.69,0.29,0.6,0.91,0.58,1.0,0.98
tweetsharp.csv,0.63,0.73,0.79,0.67,0.73,0.95,0.83,0.6,0.58,0.54,0.82,1.08,0.38,0.44
wxcode.csv,0.87,0.45,0.75,0.58,0.94,0.53,0.63,0.72,0.58,0.7,0.98,0.18,0.83,1.07
