,f1,g,recall,precision,pf,wins
arm-webradio.csv,0.32999999999999996,0.35,0.305,0.43,0.185,2
bibedt.csv,0.41000000000000003,0.475,0.43000000000000005,0.44,0.2,9
brlcad.csv,0.365,0.49,0.45,0.5449999999999999,0.175,11
co-ode-owl-plugins.csv,0.45999999999999996,0.49,0.6,0.435,0.33999999999999997,10
firebreath.csv,0.345,0.48,0.56,0.265,0.395,3
fltk.csv,0.45499999999999996,0.595,0.575,0.54,0.26,13
glas.csv,0.35,0.585,0.6599999999999999,0.255,0.5549999999999999,4
gretl.csv,0.41000000000000003,0.63,0.74,0.305,0.645,6
konversation.csv,0.39,0.52,0.475,0.39,0.31,7
micomt.csv,0.395,0.5700000000000001,0.625,0.47,0.325,12
openxava.csv,0.365,0.47,0.445,0.31,0.375,1
sumatrapdf.csv,0.4,0.5449999999999999,0.91,0.265,0.76,5
tweetsharp.csv,0.44,0.5,0.525,0.385,0.36,8
wxcode.csv,0.345,0.35,0.305,0.33,0.175,0
