,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.14,0.75,0.11,0.42,0.43,0.31,0.02,0.23,0.12,0.09,0.33
gbif-providertoolkit.csv,0.65,0.12,0.21,0.29,0.71,0.23,0.14,0.54,0.52,0.36,0.43
geochat.csv,0.31,0.25,0.23,0.52,0.14,0.77,0.57,0.38,0.1,0.53,0.53
heekscad.csv,0.77,0.62,0.61,0.71,0.71,0.92,0.45,0.46,0.83,0.56,0.5
igarden.csv,0.6,0.5,0.46,0.68,0.57,0.85,0.67,0.54,0.69,0.56,0.37
jstock.csv,0.53,0.75,0.62,0.68,0.29,0.38,0.18,0.92,0.42,0.55,0.23
levent.csv,0.65,0.0,0.14,0.1,0.79,0.31,0.73,0.38,0.35,0.0,0.07
piccolo2d.csv,0.18,0.0,0.45,0.16,0.64,0.92,0.39,0.38,0.21,0.42,0.2
pnotepad.csv,0.64,0.88,0.91,1.0,0.86,1.0,0.69,0.92,0.88,0.58,0.73
trinitycore.csv,0.38,0.62,0.43,0.77,0.29,0.62,0.0,0.38,0.31,0.58,0.1
xcsoar.csv,0.64,0.25,0.71,0.65,0.71,0.92,0.47,0.69,0.25,0.45,0.5
