,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.0,0.19,0.11,0.38,0.24,0.15,0.04,0.26,0.2,0.17,0.34
gbif-providertoolkit.csv,0.85,0.63,0.35,0.28,0.24,0.48,0.22,0.21,1.0,0.51,0.56
geochat.csv,0.64,0.37,0.25,0.65,0.31,0.49,0.7,0.49,0.2,0.47,0.24
heekscad.csv,0.28,0.33,0.28,0.51,0.52,0.56,0.3,0.23,0.6,0.39,0.5
igarden.csv,0.23,0.42,0.23,0.31,0.34,0.52,0.35,0.21,0.3,0.46,0.4
jstock.csv,0.13,0.38,0.28,0.43,0.06,0.15,0.0,0.19,0.1,0.33,0.08
levent.csv,0.55,0.33,0.07,0.04,0.57,0.51,0.35,0.12,0.2,0.0,0.12
piccolo2d.csv,0.02,0.02,0.11,0.04,0.31,0.3,0.09,0.16,0.1,0.21,0.1
pnotepad.csv,0.23,0.62,0.73,0.97,0.91,0.82,0.48,0.7,0.0,0.38,0.73
trinitycore.csv,0.11,0.38,0.24,0.61,0.31,0.6,0.0,0.67,0.2,0.34,0.06
xcsoar.csv,0.17,0.1,0.24,0.51,0.46,0.71,0.26,0.33,0.0,0.3,0.36
