,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,1.0,0.38,0.43,0.32,0.27,0.25,0.5,0.21,0.75,0.15,0.23
gbif-providertoolkit.csv,0.56,0.03,0.32,0.31,0.38,0.07,0.58,0.44,0.71,0.19,0.19
geochat.csv,0.44,0.1,0.42,0.25,0.09,0.2,0.64,0.19,0.71,0.27,0.4
heekscad.csv,0.82,0.23,0.63,0.37,0.22,0.21,0.76,0.38,0.87,0.32,0.23
igarden.csv,0.81,0.15,0.62,0.49,0.26,0.2,0.8,0.44,0.92,0.29,0.22
jstock.csv,0.87,0.23,0.64,0.4,0.5,0.29,1.0,0.6,0.95,0.35,0.47
levent.csv,0.66,0.0,0.62,0.5,0.22,0.09,0.82,0.5,0.89,0.0,0.14
piccolo2d.csv,0.93,0.0,0.76,0.62,0.3,0.32,0.9,0.42,0.91,0.39,0.38
pnotepad.csv,0.82,0.18,0.5,0.31,0.16,0.16,0.76,0.29,1.0,0.33,0.23
trinitycore.csv,0.85,0.2,0.59,0.35,0.16,0.14,0.0,0.15,0.88,0.36,0.33
xcsoar.csv,0.86,0.29,0.7,0.35,0.24,0.17,0.79,0.39,1.0,0.33,0.3
