,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.32,0.44,0.44,0.39,0.68,0.75,0.62,0.41,0.62,0.42,0.7,0.7,0.64,0.62,0.47,0.62,0.23,0.47,0.76,0.34
buddata-ebxml-registry.csv,1.0,0.98,0.96,0.66,1.0,0.91,1.0,0.97,0.99,0.98,0.92,0.92,0.84,0.95,1.0,0.96,1.0,0.91,0.07,0.95
cornerstone.csv,0.59,0.72,0.85,0.63,0.83,0.74,0.94,0.77,0.99,0.97,0.44,0.9,0.67,0.54,0.68,0.78,0.5,0.81,0.72,0.95
emeraldemu.csv,0.56,0.57,0.53,0.73,0.83,0.86,0.68,0.39,0.74,0.5,0.75,0.57,0.73,0.68,0.64,0.69,0.51,0.59,1.01,0.6
jahshakafx.csv,0.34,0.45,0.56,0.44,0.67,0.75,0.6,0.48,0.55,0.57,0.6,0.66,0.74,0.61,0.48,0.56,0.39,0.56,0.52,0.48
jaolt.csv,0.36,0.46,0.52,0.53,0.63,0.66,0.56,0.42,0.6,0.48,0.62,0.91,0.5,0.76,0.54,0.6,0.44,0.58,1.1,0.72
kmess.csv,0.59,0.56,0.65,0.81,0.88,0.88,0.52,0.5,0.59,0.54,0.79,0.84,0.9,0.84,0.6,0.55,0.33,0.76,0.76,0.69
maya-work-in-progress.csv,0.73,0.54,0.48,0.48,0.91,0.62,0.79,0.63,0.75,0.23,0.87,0.66,0.81,0.78,0.67,0.61,0.79,0.52,0.55,0.71
mia.csv,0.71,0.7,0.74,0.61,0.96,0.8,0.6,0.66,0.66,0.47,0.6,0.49,0.84,0.54,0.87,0.79,0.33,0.78,0.96,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.32,0.51,0.44,0.62,0.9,0.93,0.58,0.5,0.53,0.54,0.75,0.49,0.73,0.52,0.63,0.57,0.52,0.64,0.85,0.55
novembre.csv,0.49,0.44,0.78,0.74,0.74,0.76,0.51,0.59,0.65,0.69,0.59,0.96,0.61,0.59,0.44,0.59,0.33,0.48,0.66,0.66
ns-3.csv,0.51,0.58,0.9,1.0,0.7,0.55,0.82,0.85,0.71,0.6,0.56,0.77,0.58,0.55,0.62,0.8,1.05,0.72,0.65,0.82
nullc.csv,0.71,0.98,0.98,0.89,0.34,0.68,0.52,0.51,0.61,0.84,0.71,0.93,0.79,0.95,0.66,0.56,0.37,0.56,0.67,0.7
open-beos.csv,0.44,0.52,0.45,0.56,0.55,0.6,0.68,0.62,0.45,0.63,0.77,0.67,0.57,0.62,0.5,0.57,0.51,0.57,0.37,0.61
pixel-commandos.csv,0.96,0.71,0.79,0.67,0.84,0.86,0.74,0.87,0.9,0.97,0.97,0.95,0.82,0.81,0.76,0.76,0.05,0.81,1.03,0.77
plee-the-bear.csv,0.35,0.61,0.32,0.88,0.74,0.65,0.66,0.81,0.65,0.37,0.73,0.67,0.62,0.69,0.57,0.61,0.71,0.63,0.62,0.75
reaper-ecad.csv,0.85,0.9,1.0,0.37,0.82,0.97,1.0,0.86,0.95,0.97,0.8,0.89,0.87,1.0,0.91,0.96,0.75,0.94,0.87,0.95
unladen-swallow.csv,0.73,0.6,0.54,0.92,0.86,0.68,0.68,0.66,0.68,0.54,0.71,0.69,0.6,0.56,0.52,0.91,0.61,0.87,0.87,0.88
xmoto.csv,0.47,0.5,0.48,0.92,0.57,0.65,0.52,0.47,0.59,0.55,0.61,0.58,0.69,0.82,0.49,0.68,0.52,0.36,0.62,0.89
zxing.csv,0.43,0.49,0.39,0.65,0.6,0.79,0.57,0.52,0.61,0.75,0.6,0.79,0.52,0.65,0.5,0.6,0.36,0.59,0.7,0.29
