,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.41,0.43,0.46,0.51,0.47,0.61,0.67,0.53,0.55,0.46,0.36,0.38,0.57,0.71,0.41,0.48,0.52,0.42,0.69,0.38
buddata-ebxml-registry.csv,0.49,0.49,0.4,0.58,0.45,0.41,0.35,0.36,0.4,0.46,0.31,0.39,0.34,0.35,0.37,0.41,0.43,0.44,0.34,0.33
cornerstone.csv,0.55,0.89,0.97,0.91,0.7,0.58,0.83,0.94,0.8,0.0,0.43,0.93,0.41,0.48,0.58,0.78,0.83,0.88,0.58,0.75
emeraldemu.csv,0.48,0.6,0.47,0.5,0.6,0.96,0.8,0.54,0.96,0.55,0.41,0.91,0.54,0.46,0.61,0.62,0.92,0.55,0.76,0.54
jahshakafx.csv,0.35,0.44,0.41,0.39,0.39,0.6,0.44,0.41,0.47,0.47,0.34,0.34,0.44,0.38,0.37,0.37,0.4,0.4,0.47,0.35
jaolt.csv,0.35,0.42,0.47,0.44,0.4,0.49,0.39,0.46,0.37,0.45,0.45,0.41,0.45,0.41,0.38,0.34,0.42,0.42,0.54,0.37
kmess.csv,0.61,0.54,0.45,0.53,0.89,0.98,0.65,0.63,0.52,0.56,0.64,0.5,0.92,0.87,0.58,0.48,0.7,0.53,0.75,0.59
maya-work-in-progress.csv,0.45,0.44,0.42,0.51,0.47,0.44,0.34,0.36,0.39,0.46,0.33,0.36,0.31,0.34,0.35,0.34,0.42,0.45,0.33,0.3
mia.csv,0.92,0.87,0.9,0.68,0.8,0.81,0.61,0.66,0.56,0.53,0.38,0.83,0.92,0.39,0.95,0.63,0.7,0.5,0.83,0.41
mp-rechnungs-und-kundenverwaltung.csv,0.38,0.51,0.56,0.62,0.83,0.93,0.56,0.62,0.48,0.61,0.51,0.45,0.81,0.48,0.59,0.43,0.69,0.45,0.9,0.38
novembre.csv,0.52,0.43,0.98,0.76,0.46,0.69,0.56,0.54,0.4,0.75,0.49,0.96,0.49,0.43,0.42,0.46,0.59,0.46,0.56,0.5
ns-3.csv,0.5,0.59,0.99,0.9,0.61,0.46,0.35,0.54,0.52,0.62,0.47,0.42,0.38,0.4,0.41,0.44,0.45,0.51,0.39,0.44
nullc.csv,0.51,0.49,0.41,0.53,0.52,0.58,0.48,0.48,0.57,0.83,0.45,0.38,0.42,0.42,0.4,0.47,0.61,0.59,0.54,0.87
open-beos.csv,0.39,0.42,0.54,0.57,0.42,0.48,0.39,0.37,0.5,0.71,0.67,0.61,0.4,0.4,0.39,0.39,0.49,0.43,0.38,0.38
pixel-commandos.csv,0.86,0.67,0.99,0.72,0.88,0.97,0.86,0.98,0.95,0.67,0.89,0.92,0.92,0.92,0.94,0.79,0.89,0.91,0.74,0.94
plee-the-bear.csv,0.36,0.57,0.51,0.93,0.45,0.43,0.37,0.37,0.38,0.43,0.35,0.5,0.35,0.34,0.39,0.36,0.41,0.4,0.33,0.33
reaper-ecad.csv,0.95,0.99,0.9,0.6,0.67,0.75,0.0,0.97,0.88,0.0,0.92,0.89,0.92,0.0,0.89,0.8,0.0,0.5,0.89,0.67
unladen-swallow.csv,0.76,0.56,0.66,0.9,0.88,0.51,0.36,0.57,0.57,0.58,0.67,0.41,0.33,0.41,0.44,0.89,0.48,0.89,0.89,0.89
xmoto.csv,0.43,0.51,0.51,0.8,0.47,0.45,0.45,0.51,0.48,0.59,0.44,0.82,0.51,0.88,0.4,0.36,0.4,0.42,0.39,0.92
zxing.csv,0.44,0.46,0.49,0.47,0.4,0.72,0.48,0.6,0.55,0.78,0.46,0.37,0.45,0.49,0.39,0.4,0.48,0.5,0.65,0.41
