,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.61,0.69,0.0,0.65,0.83,0.79
columba.csv,0.63,0.3,0.39,0.35,0.26,0.01
emftriple.csv,0.05,0.0,0.0,0.0,0.0,0.07
fluent-nhibernate.csv,0.45,0.53,0.17,0.01,0.03,0.37
gpsmid.csv,0.0,0.38,0.33,0.29,0.23,0.17
xamj.csv,0.5,0.6,0.67,0.58,0.0,0.34
