,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.07,0.27,0.17,0.0,0.36,0.31,0.24,0.11,0.28,0.08,0.93
fceugc.csv,0.36,0.52,0.29,0.64,0.5,0.54,0.65,0.45,0.24,0.49,0.69
flexpay.csv,0.21,0.42,0.37,0.13,0.0,0.57,0.54,0.51,0.17,0.49,0.08
jstock.csv,0.12,0.54,0.26,0.37,0.32,0.22,0.46,0.71,0.2,0.3,0.56
keyczar.csv,0.15,0.26,0.11,0.13,0.12,0.13,0.21,0.15,0.1,0.82,0.13
modellus.csv,0.19,0.65,0.31,0.47,0.61,0.78,0.77,0.38,0.31,0.3,0.17
open-data-kit.csv,0.28,0.71,0.3,0.52,0.57,0.71,0.79,0.59,0.23,0.28,0.85
phet.csv,0.47,0.47,0.11,0.23,0.25,0.3,0.53,0.29,0.2,0.87,0.47
qtractor.csv,0.22,0.79,0.32,0.5,0.55,0.72,0.69,0.4,0.3,0.04,0.25
sumatrapdf.csv,0.38,0.75,0.3,0.52,0.73,0.71,0.77,0.5,0.32,0.8,0.81
synergyspace.csv,0.26,0.57,0.3,0.37,0.6,0.61,0.61,0.27,0.48,0.54,0.08
